market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,selector,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR302230-30,heartbeat:19,live_heartbeat_two_side,heartbeat:19:yes,2026-05-01 02:17:13.847000+00:00,2026-05-01 02:17:00+00:00,yes,no,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76692.19,76652.0,766.153,,19,True,False,synced,bid>=98,latest_quote,1.0,40.19000000000233,1.4519787250295495,11.246978842173847,,,85.90181827433608,0.4678597124877092,0.6800575422186286,95.58891680873482,0.4204462331173712,0.6629202501745215,92.90280127955567,0.4326026712484782,0.6673482757565203,73.91878664535561,0.543704812050341,0.7066776897367746,76660.69,31.5,0.525,0.0,442.4203250000024,0.999998157173292,0.999999042459955,0.9999999989195234,76675.97,16.220000000001164,0.0901111111111175,0.0,109.2288981111184,0.8734172047342783,0.8801492254103644,0.9302543354388108,76666.59,25.60000000000582,0.0853333333333527,0.0,105.56838933335052,0.8652901460334934,0.8720910959383869,0.9233781359169072,76640.06,52.13000000000466,0.0868833333333411,0.0,106.7559264833416,0.8679650510362977,0.8747455493534293,0.9256632308024992,76639.27,52.919999999998254,0.058799999999998,0.0,85.23979640000084,0.8137319830353651,0.8205638148973528,0.8755765538422122,76600.93,91.26000000000931,0.0507000000000051,0.0,79.03395710000629,0.7958278708417323,0.8025366057504563,0.8575101914357344,76586.55,105.63999999999942,0.0293444444444442,0.0,62.67233414444665,0.7439735116700699,0.7500353905828219,0.8017403393118707,0.0320797498254784,True,0.6789601250872608,0.7410701320693382,0.6629202501745215,heartbeat:19,two_side_all_heartbeats,0.6811741378782601,0.6629202501745215,0.7194341042590551,0.032079749825478454,0.027651724243479614,2026-05-01 02:30:00+00:00,0.674159499650957,0.325840500349043,0.6653034484869595,0.33469655151304045,0.5866446205264508,0.41335537947354917,0.325840500349043,0.674159499650957,0.0,0.561796325226878,0.5675527584834763,0.613148162613439,0.6301771772167883,0.5264601250872607,0.5104202501745215,0.6825181542939593,0.4123695149523923,0.6027101250872607,0.6396260750523564,0.565794175122165,0.6227801667830143,0.5104202501745215,0.5825188521571502,0.5422575375312861,0.6065047474370022,0.6257142102786099,0.5104202501745215,0.5964692022342404,0.5104202501745215,train,fallback_score_min60,2,72.0,-70.0,-72.0,0.72
KXBTC15M-26APR302245-45,heartbeat:122,live_heartbeat_two_side,heartbeat:122:no,2026-05-01 02:32:00.123000+00:00,2026-05-01 02:32:00+00:00,no,no,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76560.37,76603.27,779.877,,122,False,False,synced,bid>=98,latest_quote,-1.0,42.90000000000873,1.5361875320687834,11.899257456707742,,,46.36572160991957,0.9252525035829622,0.8225827107222332,61.54668069588266,0.6970319035073268,0.7571085858773168,82.53621133328012,0.5197718590059713,0.6983887023092683,77.5342857412415,0.5533036074283413,0.7099722343659582,76578.0,17.630000000004657,0.2938333333334109,0.0,272.0538585000693,0.9999950714552508,0.9995099466010866,0.9997749503593354,76600.29,39.919999999998254,0.221777777777768,0.0,215.8593880000012,0.9997736153441106,0.9955429292377034,0.9973157684971838,76597.17,36.80000000000291,0.1226666666666763,0.0,138.5649120000163,0.9878192323665052,0.9534081709039912,0.9630428687622608,76580.96,20.59000000001106,0.0343166666666851,0.0,69.6627790500231,0.871155240288549,0.8006728010237784,0.815534371792416,76692.19,131.82000000000698,0.1464666666666744,0.0,157.12598460001476,0.9946593547571716,0.9715267869808404,0.978645032044994,76639.27,78.90000000000873,0.0438333333333381,0.0,77.08460850001251,0.8947984170048477,0.8248348883524994,0.8399373137927575,76519.81,-40.55999999999767,-0.011266666666666,40.55999999999767,34.11338580000924,0.7103024443586141,0.6603117758150636,0.6700235065548948,-0.0421085858773168,True,0.7360542929386584,0.8199759394146073,0.715,heartbeat:122,two_side_all_heartbeats,0.7066943511546342,0.715,0.782196422236496,0.042108585877316806,0.016611297690731663,2026-05-01 02:45:00+00:00,0.48578282824536645,0.5142171717546336,0.6032225953814634,0.3967774046185366,0.5800555312680835,0.4199444687319165,0.3967774046185366,0.6032225953814634,0.0,0.6842411616405117,0.6079053130020488,0.6853705808202558,0.7126525040569065,0.5935542929386584,0.6146085858773168,0.7621181394119595,0.612999094991284,0.6648042929386584,0.684882575763195,0.6447260101141218,0.695572390584878,0.6146085858773168,0.6656847217070896,0.6357970528293013,0.6666916820715945,0.6987046765199849,0.6146085858773168,0.6883633626446382,0.6146085858773168,train,hazard_primary_0.6,2,74.0,28.0,26.0,0.74
KXBTC15M-26APR302300-00,heartbeat:201,live_heartbeat_two_side,heartbeat:201:no,2026-05-01 02:46:01.424000+00:00,2026-05-01 02:46:00+00:00,no,no,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,76545.8,76574.18,838.576,,201,False,False,synced,bid>=98,latest_quote,-1.0,28.379999999990105,0.980034076612524,7.591311314872138,,,30.74060228823006,0.9232089772963302,0.8220508442971763,54.10745379475678,0.5245118372718591,0.7000387055987373,63.909901926043055,0.4440626435764464,0.6715013530809657,81.43026819631092,0.3485190535240779,0.6362747964633925,76563.28,17.479999999995925,0.2913333333332654,0.0,272.68514133326653,0.9999997668645686,0.9999900812480816,0.9995940345564696,76566.51,20.70999999999185,0.1150555555555102,0.0,124.86282755550768,0.9894916006449002,0.9746335466158756,0.9374077889283364,76579.29,33.48999999999069,0.1116333333333022,0.0,121.9930341332974,0.9879221514320804,0.9718578823111016,0.932950111740675,76560.6,14.80000000000291,0.0246666666666715,0.0,49.06487466666084,0.8177448663963045,0.7786730604254021,0.7265921404468931,76578.0,32.19999999999709,0.0357777777777745,0.0,58.382385777765165,0.8597079616389771,0.8195130225287561,0.763301143926284,76660.69,114.88999999999942,0.0638277777777774,0.0,81.90444257776761,0.934953693000609,0.9000016687798211,0.8427496568477896,76583.98,38.179999999993015,0.0106055555555536,0.0,37.27356435554403,0.7545507323674608,0.720127560544198,0.6764289356632754,-0.0850387055987372,True,0.6575193527993686,0.7676536190102725,0.615,heartbeat:201,two_side_all_heartbeats,0.6432506765404828,0.615,0.7150960419660373,0.08503870559873727,0.05650135308096571,2026-05-01 03:00:00+00:00,0.5999225888025255,0.40007741119747453,0.6569972938380686,0.3430027061619314,0.7274504070732151,0.27254959292678493,0.3430027061619314,0.6569972938380686,0.0,0.6100503172783583,0.5729517590052554,0.5932751586391792,0.6305673737823873,0.4650193527993686,0.5075387055987373,0.6936037830857847,0.49886962634068255,0.5612693527993686,0.5827616116796211,0.539777093919116,0.6075258037324914,0.5075387055987373,0.5681431505981821,0.5287604974638729,0.5619963276205977,0.6103236197546416,0.5075387055987373,0.6005712443422611,0.5075387055987373,train,fallback_score_min60,2,64.0,38.0,36.0,0.64
KXBTC15M-26APR302315-15,heartbeat:279,live_heartbeat_two_side,heartbeat:279:no,2026-05-01 03:04:03.002000+00:00,2026-05-01 03:04:00+00:00,no,yes,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76523.21,76566.01,656.998,,279,False,False,synced,bid>=98,latest_quote,-1.0,42.79999999998836,1.6697895748695863,12.93413443028134,,,73.06516107679866,0.5857784937338516,0.7209878110788138,60.70704676828981,0.7050252364169499,0.7596027343884926,53.37635030066441,0.8018532507168366,0.7886810744013706,60.9852177692451,0.7018094148968086,0.7586009867287163,76545.99,22.77999999999884,0.3796666666666473,0.0,292.2402406666423,0.9999992600934848,0.9999999781353472,0.9999991743031912,76551.03,27.819999999992437,0.1545555555555135,0.0,144.34269088884963,0.9912893268815148,0.9965770031452535,0.9910298306129454,76542.98,19.769999999989523,0.065899999999965,0.0,86.0961681999654,0.9219372573774895,0.9466279804820114,0.9209889004124928,76546.69,23.479999999995925,0.0391333333333265,0.0,68.51052173331723,0.8704546976507823,0.9003480012171752,0.8693652287130946,76568.22,45.00999999999476,0.0500111111111052,0.0,75.6571999777623,0.8936668386343413,0.9218212665109522,0.8926200083367344,76541.98,18.769999999989523,0.0104277777777719,0.0,49.65102914442898,0.7932869078203723,0.8238679170234819,0.7922200840303251,76623.2,99.98999999999069,0.0277749999999974,0.0,61.04811944998666,0.8427004003116021,0.8736321329241803,0.8415941920242583,-0.0646027343884926,True,0.7273013671942463,0.7921799972553275,0.695,heartbeat:279,two_side_all_heartbeats,0.7418405372006853,0.695,0.7597682717920458,0.06460273438849262,0.09368107440137063,2026-05-01 03:15:00+00:00,0.48079453122301485,0.5192054687769851,0.42263785119725883,0.5773621488027412,0.4827980265425673,0.5172019734574327,0.5192054687769851,0.48079453122301485,0.0,0.6874835547050403,0.7252853967217817,0.6759917773525201,0.6986855030902692,0.5748013671942462,0.6071027343884926,0.7421888186697442,0.6113991945147341,0.6510513671942463,0.6686308203165477,0.6334719140719448,0.687235156258995,0.6071027343884926,0.6559854039966659,0.6247356517343368,0.6523477236798026,0.6906338401538031,0.6071027343884926,0.6746457765291184,0.6071027343884926,train,hazard_primary_0.6,2,72.0,-70.0,-72.0,0.72
KXBTC15M-26APR302330-30,heartbeat:333,live_heartbeat_two_side,heartbeat:333:yes,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76700.0,76668.47,835.94,,333,False,False,synced,bid>=98,latest_quote,1.0,31.52999999999884,1.0905269867305551,8.447185716394392,,,71.38339782976314,0.4416993440854741,0.6706466078035703,89.63902050459014,0.3517441380161475,0.6374849220785017,77.73963249103222,0.4055846289681911,0.6574760876131754,72.56384117322405,0.4345139327000423,0.6680423602429598,76665.0,35.0,0.5833333333333334,0.0,519.1616666666655,0.9999999965159738,0.999999999987906,0.9999999999995804,76667.29,32.7100000000064,0.1817222222222577,0.0,183.43887444447304,0.979642351909273,0.9908540825721732,0.99426371592025,76666.2,33.80000000000291,0.1126666666666763,0.0,125.71257333334027,0.9196067627310188,0.9470713928577592,0.9584024630386818,76530.92,169.08000000000175,0.2818000000000029,0.0,267.0978920000013,0.9985573723681856,0.9997045974072372,0.9998837791573398,76551.03,148.97000000000116,0.1655222222222235,0.0,169.89664644444437,0.970976480354746,0.9855723328352092,0.990392678073622,76545.8,154.1999999999971,0.085666666666665,0.0,103.14219333333082,0.8750597020808456,0.907706719965264,0.9223996456330577,76660.69,39.30999999999767,0.0109194444444437,0.0,40.65800038888719,0.6749325510404157,0.6995136458829047,0.7123648427243248,0.0775150779214982,True,0.6762424610392508,0.7573638949365068,0.6374849220785017,heartbeat:333,two_side_all_heartbeats,0.6862380438065877,0.6374849220785017,0.7326668291697542,0.07751507792149825,0.05752391238682453,2026-05-01 03:30:00+00:00,0.7250301558429968,0.2749698441570032,0.6850478247736491,0.3149521752263509,0.6639152795140806,0.3360847204859194,0.2749698441570032,0.7250301558429968,0.0,0.5287303987020521,0.554718913897128,0.607615199351026,0.6280758756241279,0.5337424610392507,0.4949849220785016,0.6886638135854547,0.3669305204301051,0.6049924610392508,0.6489954766235504,0.5609894454549511,0.6158232813856678,0.4949849220785016,0.5702645671875223,0.5247058529893768,0.6106074187120131,0.6196506420180232,0.4949849220785016,0.5918243678319781,0.4949849220785016,train,fallback_score_min60,2,74.0,28.0,26.0,0.74
KXBTC15M-26MAY010015-15,heartbeat:565,live_heartbeat_two_side,heartbeat:565:yes,2026-05-01 04:02:07.599000+00:00,2026-05-01 04:02:00+00:00,yes,yes,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,77126.31,77099.09,772.401,,565,False,False,synced,bid>=98,latest_quote,1.0,27.220000000001164,0.9794149010257412,7.586515201400162,,,56.68596991280211,0.4801893668199144,0.6844536264879296,78.7589609912344,0.3456114663959401,0.6351826362509144,92.42507274856968,0.2945088295905334,0.6158154412969286,219.5495640492141,0.1239811161451431,0.5493348865873934,77094.42,31.889999999999414,0.5314999999999903,0.0,437.7511314999937,0.9999999863645862,0.9999989116222854,0.9769163312160428,77090.55,35.75999999999476,0.1986666666666375,0.0,180.67033199997869,0.9891037570723908,0.9746952539372868,0.7947214486743199,77049.14,77.16999999999825,0.2572333333333275,0.0,225.90728389999663,0.9979368246937976,0.9927417301075812,0.8482502980485438,77158.64,-32.330000000001746,-0.0538833333333362,32.330000000001746,-14.399540550001085,0.4274655065518724,0.438096553987135,0.4738534224833626,77141.75,-15.440000000002328,-0.0171555555555581,15.440000000002328,13.9690317333325,0.5703888951015346,0.5600669601460467,0.525365933382975,77179.09,-52.77999999999884,-0.0293222222222215,52.77999999999884,4.571486233334998,0.5231432152441085,0.5197242559908914,0.5083062217601781,76529.7,596.6100000000006,0.1657250000000001,0.0,155.22615572500126,0.975632429227538,0.953470832856492,0.7602232909923733,-0.0201826362509144,True,0.6250913181254572,0.7493731536482372,0.615,heartbeat:565,two_side_all_heartbeats,0.6154077206484643,0.615,0.6976421558140339,0.020182636250914432,0.0008154412969285652,2026-05-01 04:15:00+00:00,0.7296347274981712,0.27036527250182885,0.7683691174061429,0.2316308825938571,0.9013302268252132,0.09866977317478676,0.2316308825938571,0.7683691174061429,0.3088000000000466,0.5257374271261887,0.5005600736860071,0.5511187135630944,0.5894123960324741,0.4325913181254572,0.44268263625091436,0.6477386830642144,0.3083989549711993,0.5288413181254572,0.5633047908752743,0.49437784537564006,0.5642884241672762,0.44268263625091436,0.5210973555639593,0.47790628696064236,0.5297270491229061,0.5656695210163317,0.44268263625091436,0.5452106596575644,0.44268263625091436,train,fallback_score_min60,2,64.0,38.0,36.0,0.64
KXBTC15M-26MAY010030-30,heartbeat:650,live_heartbeat_two_side,heartbeat:650:yes,2026-05-01 04:19:08.946000+00:00,2026-05-01 04:19:00+00:00,yes,no,True,False,1,73.0,72.0,72.5,0.725,27.5,45.0,1.0,77169.14,77131.71,651.054,,650,False,False,synced,bid>=98,latest_quote,1.0,37.429999999993015,1.466936522400781,11.362841442403298,,,130.61835186451526,0.2865600389661747,0.6127753920285073,80.44527117437082,0.4652852734980636,0.6791364103310543,83.07173808691591,0.4505744175092487,0.6738518459372786,198.7045539879961,0.1883701165814961,0.5747067380718578,77138.87,30.270000000004075,0.5045000000000679,0.0,365.8867430000372,0.99999729555306,0.9999946977900463,0.9672156360035776,77101.06,68.08000000000175,0.3782222222222319,0.0,283.673090666666,0.9997892847666368,0.999680851741463,0.9232982776951492,77134.51,34.63000000000466,0.1154333333333488,0.0,112.58333340000311,0.9191687793632454,0.9123317311422502,0.7145024521753188,77105.8,63.33999999999651,0.1055666666666608,0.0,106.15960059998922,0.9065240464190512,0.8993623816355663,0.7034186562455718,77060.14,109.0,0.1211111111111111,0.0,116.27987333332636,0.9258346829850348,0.9192062772789816,0.7207899404635089,77152.01,17.130000000004657,0.0095166666666692,0.0,43.6258638999947,0.7061957560988665,0.7002636386686782,0.5868897292430997,76845.42,323.7200000000012,0.0899222222222225,0.0,95.97422246665988,0.8835726498602192,0.8760197585369585,0.6854519941200827,0.0458635896689456,True,0.7020682051655271,0.7744350632314333,0.6791364103310543,heartbeat:650,two_side_all_heartbeats,0.6994259229686393,0.6791364103310543,0.7500746789719653,0.04586358966894566,0.05114815406272133,2026-05-01 04:30:00+00:00,0.6417271793378914,0.35827282066210864,0.6522963081254425,0.3477036918745575,0.8505865238562844,0.14941347614371558,0.3477036918745575,0.6522963081254425,0.0,0.5828773334303705,0.5760073997184623,0.6401886667151854,0.6596055446515099,0.5645682051655272,0.5416364103310543,0.7134019610381762,0.45018969859843316,0.6333182051655271,0.6699909230993162,0.5966454872317379,0.6485909402207028,0.5416364103310543,0.6096351515788182,0.5706793629369334,0.638339970587883,0.6521975588134842,0.5416364103310543,0.6275191856846152,0.5416364103310543,train,fallback_score_min60,2,75.0,-73.0,-75.0,0.75
KXBTC15M-26MAY010045-45,heartbeat:708,live_heartbeat_two_side,heartbeat:708:yes,2026-05-01 04:32:10.192000+00:00,2026-05-01 04:32:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,77026.81,76977.88,769.808,,708,False,False,synced,bid>=98,latest_quote,1.0,48.929999999993015,1.763534684954764,13.660280930577889,,,174.91373528985704,0.2797378943335068,0.6101606984844903,128.2761932079268,0.3814425637084574,0.6485625586321383,113.56585130677072,0.4308513469231207,0.666711769151079,102.57260495895892,0.4770279551696162,0.683328892364288,77005.38,21.42999999999301,0.3571666666665502,0.0,323.8797573332367,0.9942128226890294,0.9978271401100792,0.9992045385722024,76997.18,29.630000000004657,0.164611111111137,0.0,175.64895022223516,0.9145476780582482,0.9390286380465738,0.956591761404083,77144.21,-117.40000000000872,-0.3913333333333624,117.40000000000872,-252.32153066669605,0.024590590451634,0.0131481378481758,0.0069481864893407,77107.93,-81.11999999999534,-0.1351999999999922,81.11999999999534,-55.14804160000101,0.3336282207644222,0.3136239488961828,0.295409754224004,77132.24,-105.43000000000757,-0.1171444444444528,105.43000000000757,-41.24873048890234,0.3738923231538573,0.358222438267995,0.3437898411638405,77126.31,-99.5,-0.0552777777777777,99.5,6.376724444437457,0.5198236131059973,0.5223888503931609,0.5247854413112553,77179.09,-152.27999999999884,-0.0422999999999996,152.27999999999884,16.36712159999326,0.5507643943913977,0.55729718268573,0.563388599953959,0.0664374413678616,True,0.6817812793160691,0.4627177163612574,0.6485625586321383,heartbeat:708,two_side_all_heartbeats,0.6908558845755395,0.024590590451634,0.5569868856799682,0.06643744136786167,0.04828823084892098,2026-05-01 04:45:00+00:00,0.7028748827357234,0.2971251172642766,0.6665764616978422,0.33342353830215776,0.6333422152714241,0.3666577847285759,0.2971251172642766,0.7028748827357234,1.0,0.5431313262217797,0.5667252998964025,0.6148156631108899,0.5457747221560533,0.5392812793160691,0.5060625586321383,0.4651993974063959,0.09958417630943998,0.6105312793160691,0.6523187675896415,0.5687437910424968,0.6232083724214256,0.5060625586321383,0.5796273374212049,0.5360463024209842,0.6158623177926856,0.6268960906367325,0.5060625586321383,0.48563097801926713,0.4651993974063959,train,fallback_score_min60,2,74.0,28.0,26.0,0.74
KXBTC15M-26MAY010115-15,heartbeat:848,live_heartbeat_two_side,heartbeat:848:yes,2026-05-01 05:04:28.364000+00:00,2026-05-01 05:04:00+00:00,yes,yes,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,77047.82,77018.24,631.636,,848,False,False,synced,bid>=98,latest_quote,1.0,29.580000000001743,1.1769682091602522,9.11675654618645,,,55.61402383552415,0.5318802337964826,0.7025955259197149,82.6747771058595,0.3577874780614956,0.6397488189187517,74.20533225343469,0.3986236447129794,0.6549147316633618,86.99740474721749,0.3400101426697769,0.6330755551215341,77007.62,40.20000000001164,0.670000000000194,0.0,452.77612000012425,0.9999999783203743,0.9999999994751558,0.999999902728912,77006.54,41.28000000001339,0.2293333333334077,0.0,174.43518933338206,0.9825663466323024,0.9906311752262524,0.9775217897377552,76996.99,50.83000000000175,0.1694333333333391,0.0,136.60019293333875,0.9507591778597092,0.9671775439329284,0.9418115186743052,77072.26,-24.439999999987776,-0.0407333333333129,24.439999999987776,3.85136026668128,0.5185777931689486,0.5206963686704766,0.5176553396320293,77043.71,4.110000000000582,0.0045666666666673,0.0,32.46447106666882,0.6527209145553958,0.6691238444010662,0.645487539664015,77023.43,24.39000000001397,0.0135500000000077,0.0,38.13866780000664,0.6777117483848,0.6963604701677365,0.6694476843974319,77060.14,-12.319999999992431,-0.0034222222222201,12.319999999992431,27.41840124444752,0.6299200751740455,0.6441201082452961,0.623681218175094,-0.0247488189187516,True,0.6273744094593758,0.735169332259487,0.615,heartbeat:848,two_side_all_heartbeats,0.6349573658316809,0.615,0.6895764812475673,0.02474881891875169,0.03991473166336179,2026-05-01 05:15:00+00:00,0.7205023621624966,0.27949763783750337,0.6901705366732767,0.30982946332672334,0.7338488897569317,0.26615111024306826,0.27949763783750337,0.7205023621624966,0.0,0.5316734645943771,0.5513891511623702,0.5540867322971886,0.5876626500831595,0.43487440945937583,0.4472488189187517,0.6560262450313177,0.3745735556234743,0.5311244094593759,0.5646746456756255,0.49757417324312614,0.5673325459458344,0.4472488189187517,0.5245770353224374,0.4818215246990404,0.5320293382029976,0.568799149536785,0.4472488189187517,0.5516375319750346,0.4472488189187517,train,fallback_score_min60,2,64.0,38.0,36.0,0.64
KXBTC15M-26MAY010130-30,heartbeat:947,live_heartbeat_two_side,heartbeat:947:no,2026-05-01 05:18:14.631000+00:00,2026-05-01 05:18:00+00:00,no,no,True,True,1,80.0,79.0,79.5,0.795,20.5,59.0,1.0,77064.0,77124.46,705.369,,947,False,False,synced,bid>=98,latest_quote,-1.0,60.4600000000064,2.2764596573377656,17.633380682364418,,,50.06219222566036,1.2076978117034285,0.8864182399647795,79.1646850004918,0.7637243803803527,0.7774842456526144,78.67185375971236,0.768508648400094,0.778907472690739,89.49807057102846,0.6755452895716166,0.7503353062479283,77087.67,23.669999999998254,0.3944999999999709,0.0,338.72807049998585,0.99999060386878,0.9999916726134565,0.9999230692718816,77107.53,43.52999999999884,0.2418333333333268,0.0,231.04173650000183,0.998241372359676,0.9983417906631058,0.9950817932622792,77131.1,67.10000000000582,0.223666666666686,0.0,218.2275330000201,0.9970799563712396,0.9972305300827432,0.992622739736023,77135.04,71.0399999999936,0.1183999999999893,0.0,143.97568959999887,0.9655203114119644,0.96638091972037,0.946159197442838,77007.62,-56.38000000000466,-0.0626444444444496,56.38000000000466,16.272550866669413,0.5814300140407695,0.5819329127732815,0.5721380569894617,77031.45,-32.55000000000291,-0.0180833333333349,32.55000000000291,47.70457725000526,0.7266123295366073,0.7278668299564351,0.7029913529086973,77138.87,74.86999999999534,0.0207972222222209,0.0,75.12971584167215,0.8286974990078337,0.8302050303741482,0.7993933385477596,0.0175157543473856,True,0.7862421228263072,0.8565214006746181,0.7774842456526144,heartbeat:947,two_side_all_heartbeats,0.7869537363453696,0.7774842456526144,0.8301612649700323,0.017515754347385615,0.01609252730926103,2026-05-01 05:30:00+00:00,0.44503150869477115,0.5549684913052289,0.442185054618522,0.557814945381478,0.49932938750414335,0.5006706124958566,0.5549684913052289,0.44503150869477115,1.0,0.7107295193483987,0.7125797144979606,0.7426147596741994,0.7628227553113234,0.6837421228263072,0.6749842456526145,0.7561581141005551,0.4546764869423528,0.7349921228263072,0.7589952736957843,0.7109889719568301,0.7491561637684097,0.6749842456526145,0.7226898156689783,0.6962234675695469,0.7394426844695016,0.7525771007186819,0.6749842456526145,0.7155711798765848,0.6749842456526145,train,hazard_primary_0.6,2,82.0,20.0,18.0,0.82
