model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc0-570,hold,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,12.88,345.12,0.037320352341214655,5.31,7.570000000000001,0.021934399629114514,3.2300000000000013,3.2300000000000013,179,38,217,0,79.52073732718894,3.681655039181348,0.8320239236637029,425.9306589861751,74,71,0.9594594594594594,-2.36,112.36,-0.021003915984336062,1.82,-4.18,-0.037201851192595226,-5.6,-5.6,55,16,71,0,79.12676056338029,4.227888445513153,0.8335464900889343,471.39618309859156,75,65,0.8666666666666667,-5.04,107.04,-0.04708520179372197,1.51,-6.55,-0.06119207772795216,-7.85,-7.85,51,14,65,0,82.33846153846154,2.3430215053558494,0.8468148304381737,413.0952461538461,372,353,0.9489247311827957,5.48,564.52,0.009707362006660527,8.64,-3.16,-0.00559767590165096,-10.219999999999999,-10.219999999999999,285,68,353,0,79.96033994334277,3.5450300877674694,0.8350537003111025,432.711821529745,0.8666666666666667,-5.04,-6.55,-7.85,False,False,False,True,-7.85,False,1,5,-628.0,4,-960.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc0-570,prob50,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,13.68,345.12,0.039638386648122394,7.44,6.239999999999999,0.018080667593880387,1.8999999999999995,0.7199999999999995,179,38,158,59,79.52073732718894,3.681655039181348,0.8320239236637029,425.9306589861751,74,71,0.9594594594594594,5.24,112.36,0.046635813456746174,2.54,2.7,0.02402990388038448,1.2800000000000002,0.8800000000000002,55,16,51,20,79.12676056338029,4.227888445513153,0.8335464900889343,471.39618309859156,75,65,0.8666666666666667,-0.34,107.04,-0.0031763826606875933,2.21,-2.55,-0.023822869955156947,-3.8499999999999996,-4.2299999999999995,51,14,46,19,82.33846153846154,2.3430215053558494,0.8468148304381737,413.0952461538461,372,353,0.9489247311827957,18.58,564.52,0.032912917168567986,12.19,6.389999999999999,0.011319350953022035,-0.6700000000000008,-2.630000000000001,285,68,255,98,79.96033994334277,3.5450300877674694,0.8350537003111025,432.711821529745,0.8666666666666667,-0.34,-2.55,-4.2299999999999995,False,False,False,True,-3.8499999999999996,False,3,5,-442.0,5,-440.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc0-570,prob52,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.44,345.12,0.044738062123319426,7.57,7.869999999999999,0.022803662494204912,3.5299999999999994,2.3099999999999996,179,38,156,61,79.52073732718894,3.681655039181348,0.8320239236637029,425.9306589861751,74,71,0.9594594594594594,5.6,112.36,0.04983980064079743,2.54,3.0599999999999996,0.027233891064435738,1.6399999999999997,1.2399999999999998,55,16,51,20,79.12676056338029,4.227888445513153,0.8335464900889343,471.39618309859156,75,65,0.8666666666666667,1.48,107.04,0.01382660687593423,2.24,-0.7600000000000002,-0.007100149476831093,-2.0600000000000005,-2.4400000000000004,51,14,46,19,82.33846153846154,2.3430215053558494,0.8468148304381737,413.0952461538461,372,353,0.9489247311827957,22.52,564.52,0.03989229788138596,12.35,10.17,0.01801530503790831,3.1100000000000003,1.1100000000000003,285,68,253,100,79.96033994334277,3.5450300877674694,0.8350537003111025,432.711821529745,0.8666666666666667,1.48,-0.7600000000000002,-2.4400000000000004,True,False,False,True,-2.0600000000000005,False,4,5,-240.0,5,-339.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc0-570,prob54,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.96,345.12,0.04624478442280946,7.61,8.350000000000001,0.024194483078349562,4.010000000000002,2.7700000000000014,179,38,155,62,79.52073732718894,3.681655039181348,0.8320239236637029,425.9306589861751,74,71,0.9594594594594594,5.76,112.36,0.05126379494482022,2.54,3.2199999999999998,0.028657885368458525,1.7999999999999998,1.4,55,16,51,20,79.12676056338029,4.227888445513153,0.8335464900889343,471.39618309859156,75,65,0.8666666666666667,2.52,107.04,0.023542600896860985,2.24,0.2799999999999998,0.002615844544095663,-1.0200000000000002,-1.4000000000000004,51,14,46,19,82.33846153846154,2.3430215053558494,0.8468148304381737,413.0952461538461,372,353,0.9489247311827957,24.24,564.52,0.042939134131651666,12.39,11.849999999999998,0.0209912846311911,4.789999999999998,2.7699999999999982,285,68,252,101,79.96033994334277,3.5450300877674694,0.8350537003111025,432.711821529745,0.8666666666666667,2.52,0.2799999999999998,-1.4000000000000004,True,True,False,True,-1.0200000000000002,False,4,5,-132.0,5,-319.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc0-570,prob56,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.52,345.12,0.0449698655540102,7.7,7.819999999999999,0.022658785350023178,3.4799999999999995,2.1999999999999993,179,38,153,64,79.52073732718894,3.681655039181348,0.8320239236637029,425.9306589861751,74,71,0.9594594594594594,3.18,112.36,0.02830188679245283,2.73,0.4500000000000002,0.004004983980064081,-0.9699999999999998,-1.4499999999999997,55,16,47,24,79.12676056338029,4.227888445513153,0.8335464900889343,471.39618309859156,75,65,0.8666666666666667,3.34,107.04,0.031203288490284004,2.28,1.06,0.009902840059790733,-0.24,-0.64,51,14,45,20,82.33846153846154,2.3430215053558494,0.8468148304381737,413.0952461538461,372,353,0.9489247311827957,22.04,564.52,0.039042017997590876,12.71,9.329999999999998,0.016527315241266913,2.2699999999999987,0.10999999999999854,285,68,245,108,79.96033994334277,3.5450300877674694,0.8350537003111025,432.711821529745,0.8666666666666667,3.18,0.4500000000000002,-1.4499999999999997,True,True,False,True,-0.9699999999999998,False,4,5,-258.0,5,-474.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc60-570,hold,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,12.52,331.48,0.0377700012067093,5.27,7.25,0.021871606130083262,3.05,3.05,172,38,210,0,78.92380952380952,3.7625124573246236,0.8268632198113415,438.7366095238095,74,69,0.9324324324324325,-2.36,108.36,-0.02177925433739387,1.82,-4.18,-0.03857511997046881,-5.56,-5.56,53,16,69,0,78.52173913043478,4.3519133085539865,0.8287365243898878,483.85904347826084,75,63,0.84,-5.16,103.16,-0.05001938735944165,1.5,-6.66,-0.06455990694067468,-7.92,-7.92,49,14,63,0,81.87301587301587,2.4182859016300005,0.8429130177464588,424.8022222222222,372,342,0.9193548387096774,5.0,543.0,0.009208103130755065,8.59,-3.59,-0.006611418047882136,-10.43,-10.43,274,68,342,0,79.3859649122807,3.633805982839433,0.8301977089512015,445.2733976608187,0.84,-5.16,-6.66,-7.92,False,False,False,True,-7.92,False,1,5,-625.0,4,-971.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc60-570,prob50,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,13.32,331.48,0.04018341981416677,7.4,5.92,0.01785929769518523,1.7199999999999998,0.5399999999999998,172,38,151,59,78.92380952380952,3.7625124573246236,0.8268632198113415,438.7366095238095,74,69,0.9324324324324325,5.24,108.36,0.04835732742709487,2.54,2.7,0.024916943521594685,1.3200000000000003,0.9200000000000003,53,16,49,20,78.52173913043478,4.3519133085539865,0.8287365243898878,483.85904347826084,75,63,0.84,-0.46,103.16,-0.004459092671578131,2.2,-2.66,-0.025785188057386586,-3.92,-4.3,49,14,44,19,81.87301587301587,2.4182859016300005,0.8429130177464588,424.8022222222222,372,342,0.9193548387096774,18.1,543.0,0.03333333333333333,12.14,5.960000000000001,0.010976058931860039,-0.879999999999999,-2.839999999999999,274,68,244,98,79.3859649122807,3.633805982839433,0.8301977089512015,445.2733976608187,0.84,-0.46,-2.66,-4.3,False,False,False,True,-3.92,False,3,5,-439.0,5,-386.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc60-570,prob52,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.08,331.48,0.04549294075057318,7.53,7.55,0.02277663810787981,3.3499999999999996,2.13,172,38,149,61,78.92380952380952,3.7625124573246236,0.8268632198113415,438.7366095238095,74,69,0.9324324324324325,5.6,108.36,0.05167958656330749,2.54,3.0599999999999996,0.028239202657807307,1.6799999999999997,1.2799999999999998,53,16,49,20,78.52173913043478,4.3519133085539865,0.8287365243898878,483.85904347826084,75,63,0.84,1.36,103.16,0.013183404420317953,2.23,-0.8699999999999999,-0.00843350135711516,-2.13,-2.51,49,14,44,19,81.87301587301587,2.4182859016300005,0.8429130177464588,424.8022222222222,372,342,0.9193548387096774,22.04,543.0,0.040589318600368324,12.3,9.739999999999998,0.017937384898710863,2.8999999999999986,0.8999999999999986,274,68,242,100,79.3859649122807,3.633805982839433,0.8301977089512015,445.2733976608187,0.84,1.36,-0.8699999999999999,-2.51,True,False,False,True,-2.13,False,4,5,-237.0,5,-350.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc60-570,prob54,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.6,331.48,0.047061662845420536,7.57,8.03,0.024224689272354286,3.829999999999999,2.589999999999999,172,38,148,62,78.92380952380952,3.7625124573246236,0.8268632198113415,438.7366095238095,74,69,0.9324324324324325,5.76,108.36,0.053156146179401995,2.54,3.2199999999999998,0.029715762273901807,1.8399999999999999,1.44,53,16,49,20,78.52173913043478,4.3519133085539865,0.8287365243898878,483.85904347826084,75,63,0.84,2.4,103.16,0.023264831329972858,2.23,0.16999999999999993,0.0016479255525397435,-1.09,-1.4700000000000002,49,14,44,19,81.87301587301587,2.4182859016300005,0.8429130177464588,424.8022222222222,372,342,0.9193548387096774,23.76,543.0,0.04375690607734807,12.34,11.420000000000002,0.02103130755064457,4.580000000000002,2.560000000000002,274,68,241,101,79.3859649122807,3.633805982839433,0.8301977089512015,445.2733976608187,0.84,2.4,0.16999999999999993,-1.4700000000000002,True,True,False,True,-1.09,False,4,5,-129.0,5,-330.0
v50_thinedge_ask90_edge1_stc450_cap75,edge-2_ask100_p0.64_stc60-570,prob56,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.16,331.48,0.045734282611318934,7.66,7.5,0.02262579944491372,3.3,2.0199999999999996,172,38,146,64,78.92380952380952,3.7625124573246236,0.8268632198113415,438.7366095238095,74,69,0.9324324324324325,3.18,108.36,0.029346622369878186,2.73,0.4500000000000002,0.004152823920265783,-0.9299999999999997,-1.4099999999999997,53,16,45,24,78.52173913043478,4.3519133085539865,0.8287365243898878,483.85904347826084,75,63,0.84,3.22,103.16,0.031213648701046922,2.27,0.9500000000000002,0.009208995734780925,-0.30999999999999983,-0.7099999999999999,49,14,43,20,81.87301587301587,2.4182859016300005,0.8429130177464588,424.8022222222222,372,342,0.9193548387096774,21.56,543.0,0.039705340699815836,12.66,8.899999999999999,0.016390423572744013,2.0599999999999987,-0.10000000000000142,274,68,234,108,79.3859649122807,3.633805982839433,0.8301977089512015,445.2733976608187,0.84,3.18,0.4500000000000002,-1.4099999999999997,True,True,False,True,-0.9299999999999997,False,4,5,-255.0,5,-485.0
