dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,0,20,19,0.95,12,7,0.631578947368421,137.0,0.1288805268109125,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,1,20,19,0.95,13,6,0.6842105263157895,198.0,0.17967332123411978,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,2,20,20,1.0,13,7,0.65,94.0,0.0779436152570481,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,3,20,20,1.0,17,3,0.85,483.0,0.39687756778964667,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,4,20,20,1.0,11,9,0.55,-74.0,-0.06303236797274275,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,5,20,20,1.0,16,4,0.8,416.0,0.35135135135135137,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,6,20,20,1.0,12,8,0.6,4.0,0.0033444816053511705,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,7,20,20,1.0,9,11,0.45,-240.0,-0.21052631578947367,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,8,20,20,1.0,11,9,0.55,-45.0,-0.039301310043668124,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,9,20,20,1.0,17,3,0.85,482.0,0.3957307060755337,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,10,20,18,0.9,9,9,0.5,-116.0,-0.1141732283464567,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=120,11,1,1,1.0,1,0,1.0,45.0,0.8181818181818182,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,0,20,20,1.0,13,7,0.65,95.0,0.07883817427385892,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,1,20,20,1.0,13,7,0.65,119.0,0.10076206604572396,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,2,20,20,1.0,10,10,0.5,-193.0,-0.16177703269069574,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,3,20,20,1.0,16,4,0.8,392.0,0.32450331125827814,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,4,20,20,1.0,7,13,0.35,-412.0,-0.37050359712230213,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,5,20,20,1.0,7,13,0.35,-453.0,-0.39288811795316564,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,6,20,20,1.0,14,6,0.7,218.0,0.1844331641285956,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,7,20,19,0.95,10,9,0.5263157894736842,-85.0,-0.07834101382488479,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,8,20,20,1.0,10,10,0.5,-224.0,-0.1830065359477124,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,9,20,19,0.95,13,6,0.6842105263157895,170.0,0.1504424778761062,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,10,20,20,1.0,8,12,0.4,-396.0,-0.3311036789297659,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,11,20,20,1.0,12,8,0.6,-35.0,-0.02834008097165992,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,12,20,20,1.0,14,6,0.7,213.0,0.17944397641112048,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,13,20,20,1.0,14,6,0.7,91.0,0.06951871657754011,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,14,20,20,1.0,7,13,0.35,-494.0,-0.4137353433835846,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,15,13,13,1.0,5,8,0.38461538461538464,-225.0,-0.3103448275862069,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,0,20,19,0.95,12,7,0.631578947368421,137.0,0.1288805268109125,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,1,20,19,0.95,13,6,0.6842105263157895,198.0,0.17967332123411978,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,2,20,20,1.0,13,7,0.65,94.0,0.0779436152570481,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,3,20,20,1.0,17,3,0.85,483.0,0.39687756778964667,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,4,20,20,1.0,11,9,0.55,-74.0,-0.06303236797274275,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,5,20,20,1.0,16,4,0.8,416.0,0.35135135135135137,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,6,20,19,0.95,12,7,0.631578947368421,57.0,0.049868766404199474,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,7,20,20,1.0,9,11,0.45,-240.0,-0.21052631578947367,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,8,20,20,1.0,11,9,0.55,-45.0,-0.039301310043668124,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,9,20,20,1.0,17,3,0.85,482.0,0.3957307060755337,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,10,20,18,0.9,9,9,0.5,-116.0,-0.1141732283464567,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=300,11,1,1,1.0,1,0,1.0,45.0,0.8181818181818182,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,0,20,20,1.0,13,7,0.65,95.0,0.07883817427385892,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,1,20,20,1.0,13,7,0.65,119.0,0.10076206604572396,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,2,20,19,0.95,10,9,0.5263157894736842,-98.0,-0.08925318761384335,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,3,20,20,1.0,16,4,0.8,392.0,0.32450331125827814,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,4,20,20,1.0,7,13,0.35,-412.0,-0.37050359712230213,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,5,20,20,1.0,7,13,0.35,-453.0,-0.39288811795316564,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,6,20,20,1.0,14,6,0.7,218.0,0.1844331641285956,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,7,20,18,0.9,9,9,0.5,-94.0,-0.09456740442655935,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,8,20,20,1.0,10,10,0.5,-224.0,-0.1830065359477124,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,9,20,19,0.95,13,6,0.6842105263157895,170.0,0.1504424778761062,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,10,20,20,1.0,8,12,0.4,-396.0,-0.3311036789297659,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,11,20,19,0.95,12,7,0.631578947368421,30.0,0.02564102564102564,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,12,20,20,1.0,14,6,0.7,213.0,0.17944397641112048,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,13,20,20,1.0,14,6,0.7,91.0,0.06951871657754011,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=95; sec>=600,14,20,20,1.0,7,13,0.35,-494.0,-0.4137353433835846,False,True
