dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard45_max780_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,458.0,0.3412816691505216,68.0,True,True
current,hazard45_max780_else_score_min60,10,20,20,1.0,14,6,0.7,-28.0,-0.0196078431372549,69.0,False,True
current,hazard45_max780_else_score_min60,11,20,20,1.0,13,7,0.65,-145.0,-0.10034602076124567,69.0,False,True
current,hazard45_max780_else_score_min60,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,hazard45_max780_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard45_max780_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard45_max780_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard45_max780_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard45_max780_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard45_max780_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,58.0,0.04022191400832178,68.5,True,True
current,hazard45_max780_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,233.0,0.17044623262618874,68.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-23.0,-0.016163035839775124,69.0,False,True
current,hazard45_max780_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard45_max780_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,194.0,0.1379800853485064,69.0,True,True
current,hazard45_max780_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard45_max780_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-168.0,-0.15730337078651685,69.0,False,True
current,hazard45_max660_else_score_min60,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,False,True
current,hazard45_max660_else_score_min60,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,hazard45_max660_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard45_max660_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard45_max660_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard45_max660_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard45_max660_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard45_max660_else_score_min60,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,hazard45_max660_else_score_min60,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,hazard45_max660_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,458.0,0.3412816691505216,68.0,True,True
current,hazard45_max660_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard45_max660_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard45_max660_else_score_min60,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,hazard45_max660_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard45_max660_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard45_max660_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard45_max660_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard45_max660_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard45_max660_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,58.0,0.04022191400832178,68.5,True,True
current,hazard45_max660_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,233.0,0.17044623262618874,68.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-23.0,-0.016163035839775124,69.0,False,True
current,hazard45_max660_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard45_max660_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,hazard45_max660_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard45_max660_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard45_max540_else_score_min60,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,False,True
current,hazard45_max540_else_score_min60,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,hazard45_max540_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard45_max540_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard45_max540_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard45_max540_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard45_max540_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard45_max540_else_score_min60,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,hazard45_max540_else_score_min60,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,hazard45_max540_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard45_max540_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard45_max540_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard45_max540_else_score_min60,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,hazard45_max540_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard45_max540_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard45_max540_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard45_max540_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard45_max540_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard45_max540_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,58.0,0.04022191400832178,68.5,True,True
current,hazard45_max540_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-23.0,-0.016163035839775124,69.0,False,True
current,hazard45_max540_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard45_max540_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,hazard45_max540_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard45_max540_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard45_max420_else_score_min60,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,False,True
current,hazard45_max420_else_score_min60,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,hazard45_max420_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard45_max420_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard45_max420_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard45_max420_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard45_max420_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard45_max420_else_score_min60,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,hazard45_max420_else_score_min60,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,hazard45_max420_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard45_max420_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard45_max420_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard45_max420_else_score_min60,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,hazard45_max420_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard45_max420_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard45_max420_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard45_max420_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard45_max420_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard45_max420_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,hazard45_max420_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-23.0,-0.016163035839775124,69.0,False,True
current,hazard45_max420_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard45_max420_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,hazard45_max420_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard45_max420_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard50_nomax_else_score_min60,0,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,65.0,False,True
current,hazard50_nomax_else_score_min60,1,20,20,1.0,16,4,0.8,213.0,0.15356885364095169,66.0,True,True
current,hazard50_nomax_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard50_nomax_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard50_nomax_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard50_nomax_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard50_nomax_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard50_nomax_else_score_min60,7,20,19,0.95,15,4,0.7894736842105263,120.0,0.08695652173913043,69.0,True,True
current,hazard50_nomax_else_score_min60,8,20,20,1.0,16,4,0.8,185.0,0.13074204946996468,69.5,True,True
current,hazard50_nomax_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard50_nomax_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard50_nomax_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard50_nomax_else_score_min60,12,20,20,1.0,16,4,0.8,178.0,0.12517580872011252,70.5,True,True
current,hazard50_nomax_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard50_nomax_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,69.0,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard50_nomax_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,194.0,0.1379800853485064,69.0,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard50_nomax_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard50_max900_else_score_min60,0,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,65.0,False,True
current,hazard50_max900_else_score_min60,1,20,20,1.0,16,4,0.8,213.0,0.15356885364095169,66.0,True,True
current,hazard50_max900_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard50_max900_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard50_max900_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard50_max900_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard50_max900_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard50_max900_else_score_min60,7,20,19,0.95,15,4,0.7894736842105263,120.0,0.08695652173913043,69.0,True,True
current,hazard50_max900_else_score_min60,8,20,20,1.0,16,4,0.8,185.0,0.13074204946996468,69.5,True,True
current,hazard50_max900_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard50_max900_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard50_max900_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard50_max900_else_score_min60,12,20,20,1.0,16,4,0.8,178.0,0.12517580872011252,70.5,True,True
current,hazard50_max900_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard50_max900_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard50_max900_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
