market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,trust_state,outcome_method,outcome_source,close_dt,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv30,score_mean_book_rv15_drift5,score_min_book_rv15,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,selector,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR300045-45,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00|no,2026-04-30 04:34:41.053024+00:00,2026-04-30 04:34:00+00:00,no,no,True,True,1,92.0,92.0,92.0,0.92,8.0,84.0,0.0,75508.0,75682.34,618.946976,,1,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 04:45:00+00:00,-1.0,174.3399999999965,7.007616377254713,54.28076305143571,,,58.54749083537739,2.977753572569012,0.9985481532893996,73.64416920292199,2.3673293064059604,0.9910415086278004,73.50065968628374,2.371951500083349,0.9911527934018792,73.20239322049241,2.3816161238727296,0.9913815723812124,75516.89,8.889999999999418,0.1481666666666569,0.0,266.04731027732385,0.9998484319829224,0.9998525041387766,0.9998606897795386,75587.06,79.05999999999767,0.4392222222222093,0.0,446.1952662364329,0.9999999993142944,0.9999999993629504,0.999999999454058,75668.95,160.9499999999971,0.5364999999999903,0.0,506.4050526239905,0.9999999999969302,0.9999999999972063,0.9999999999977076,75641.28,133.27999999999884,0.2221333333333314,0.0,311.828754935462,0.9999885348588012,0.9999889493015208,0.9999897702552164,75680.01,172.00999999999476,0.1911222222222164,0.0,292.6345214908373,0.9999646069323916,0.9999657427571724,0.9999680071901668,75842.25,334.25,0.1856944444444444,0.0,289.2750148488854,0.9999571741307478,0.999958519127508,0.9999612034850488,75857.3,349.3000000000029,0.0970277777777785,0.0,234.39504964355257,0.9992707216322758,0.999286219187346,0.9993176469343774,-0.0710415086278003,True,0.9555207543139002,0.9555763967009396,0.970347169541577,0.92,0.92,0.9573124525877261,0.07104150862780034,0.07115279340187919,0.017916982744399235,0.9820830172556008,0.017694413196241543,0.9823055868037585,0.01723685523757501,0.982763144762425,0.9820830172556008,0.017916982744399235,0.0,0.9883539612161405,0.9884986314224429,0.9501769806080704,0.9581769806077634,0.9155207543139002,0.9510415086278003,0.9635207543132863,1.0820830172552938,0.9355207543139001,0.92931245258834,0.9417290560394602,0.9540276724185336,0.92,0.9394880033045356,0.9249483341905377,0.9372896562585998,0.9668081431061433,0.92,0.9572811314705434,0.9510415086278003,train,fallback_score_min60,1,93.0,8.0,7.0,0.93
KXBTC15M-26APR300100-00,KXBTC15M-26APR300100-00|2026-04-30T04:46:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300100-00|2026-04-30T04:46:00+00:00|yes,2026-04-30 04:46:00.785149+00:00,2026-04-30 04:46:00+00:00,yes,yes,True,True,1,69.0,68.0,68.5,0.685,31.5,37.0,1.0,75492.69,75440.22,839.214851,,413,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:00:00+00:00,1.0,52.47000000000117,1.8112336739645771,14.029755710709765,,,231.8087389390928,0.2263503966249846,0.5895355477585519,163.1550535441626,0.3215959227753779,0.6261205834815107,127.94491648903792,0.4100983566978739,0.6591331009333936,108.52645854882768,0.4834765706133691,0.6856213041929073,75378.94,113.75,1.8958333333333333,0.0,1643.4814883541676,1.0,1.0,1.0,75414.45,78.24000000000524,0.4346666666666958,0.0,417.2487219013589,0.9947267334767976,0.9994452110793876,0.9999396432979548,75434.28,58.41000000000349,0.1947000000000116,0.0,215.86513148971093,0.9070935166039612,0.9542148963423134,0.9766524522726672,75488.0,4.690000000002328,0.0078166666666705,0.0,59.02986275198775,0.6412500884514156,0.677733180694476,0.7067522173527718,75587.06,-94.36999999999534,-0.1048555555555503,94.36999999999534,-35.52633943207228,0.4138135601416741,0.3906332225264617,0.3717008814856595,75761.91,-269.2200000000012,-0.1495666666666673,269.2200000000012,-73.04856788123271,0.3271759013700426,0.284020959618975,0.2504435701738648,75916.84,-424.1499999999942,-0.1178194444444428,424.1499999999942,-46.40582751434469,0.3880412912571701,0.3584138975386962,0.3344714720318463,0.0588794165184893,True,0.6555602917407554,0.6720665504666968,0.7394047000284907,0.6261205834815107,0.6261205834815107,0.7117548783652454,0.05887941651848938,0.02586689906660644,0.7477588330369787,0.25224116696302135,0.6817337981332128,0.3182662018667872,0.6287573916141853,0.3712426083858147,0.25224116696302135,0.7477588330369787,1.0,0.5139567585259639,0.5568730312134117,0.583728379262982,0.605937730923378,0.4980602917407554,0.4686205834815107,0.6184789950615475,0.14295051862341746,0.5768102917407554,0.6200861750444532,0.5335344084370575,0.5932470556543404,0.4686205834815107,0.5475751923300549,0.5019033290057695,0.5806839437992172,0.5960237276581866,0.4686205834815107,0.5435497892715291,0.4686205834815107,train,fallback_score_min60,2,71.0,31.0,29.0,0.71
KXBTC15M-26APR300115-15,KXBTC15M-26APR300115-15|2026-04-30T05:03:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300115-15|2026-04-30T05:03:00+00:00|yes,2026-04-30 05:03:00.523643+00:00,2026-04-30 05:03:00+00:00,yes,yes,True,True,1,76.0,75.0,75.5,0.755,24.5,51.0,1.0,75525.0,75467.68,719.476357,,1389,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:15:00+00:00,1.0,57.320000000006985,2.1369675047881995,16.55287911486223,,,74.68655513667689,0.7674741443772712,0.7786001699334016,84.05249831657625,0.6819547443327182,0.7523662162257689,124.7372685516528,0.4595258551478637,0.67707170521354,106.78425557446444,0.5367832522841883,0.7042913292651649,75512.2,12.80000000000291,0.2133333333333818,0.0,210.8082894933752,0.9939301116832704,0.9544877907690684,0.9758177358559392,75453.94,71.05999999999767,0.3947777777777648,0.0,341.3532773801088,0.9999755885308927,0.9968959071756368,0.999304863714422,75478.58,46.419999999998254,0.1547333333333275,0.0,168.64697497313614,0.9775957692323576,0.9118151478573524,0.9428691602343646,75475.4,49.60000000000582,0.0826666666666763,0.0,116.79671217868062,0.9176700414525832,0.8254513703101964,0.8629706235381638,75462.63,62.36999999999534,0.0692999999999948,0.0,107.17971154010326,0.8988722769191466,0.8048969595165456,0.8422391811468846,75516.89,8.110000000000582,0.0045055555555558,0.0,60.56164069737944,0.7643980477450292,0.6863439671655236,0.7146905229783572,75884.83,-359.83000000000175,-0.0999527777777782,359.83000000000175,-14.59366042757948,0.4310798793393425,0.4534319325859837,0.4456478344204364,0.002633783774231,True,0.7536831081128845,0.71603585260677,0.8283206618193756,0.7523662162257689,0.7523662162257689,0.7987290187142022,0.002633783774231069,0.07792829478646002,0.49526756754846213,0.5047324324515379,0.64585658957292,0.35414341042708,0.5914173414696702,0.4085826585303298,0.35414341042708,0.64585658957292,0.0,0.6780760810934996,0.5801932167776019,0.7042880405467499,0.7265476174699856,0.6311831081128845,0.629866216225769,0.7737022619593561,0.6024920093747737,0.6924331081128845,0.7174598648677306,0.6674063513580382,0.7124108108171794,0.629866216225769,0.6832219380045317,0.6540330651918839,0.6960485081525897,0.7156105637367185,0.629866216225769,0.7017842390925626,0.629866216225769,train,hazard_primary_0.55,2,78.0,24.0,22.0,0.78
KXBTC15M-26APR300130-30,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00|no,2026-04-30 05:17:00.106337+00:00,2026-04-30 05:17:00+00:00,no,no,True,True,1,76.0,75.0,75.5,0.755,24.5,51.0,1.0,75529.63,75591.08,779.893663,,2109,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:30:00+00:00,-1.0,61.44999999999709,2.2004129461827047,17.044325390689625,,,74.10979871476923,0.8291751032343692,0.7964973345865367,117.48735417739458,0.5230350145362327,0.699525056492912,103.25623988534684,0.5951214189886213,0.7241188438903827,117.08243264386827,0.5248438951290895,0.7001541428674429,75542.48,12.849999999991269,0.2141666666665211,0.0,228.47722615905025,0.9740942310720524,0.986541548574374,0.9744965623135596,75600.57,70.94000000000233,0.394111111111124,0.0,368.8147580734516,0.9991529131045344,0.999822758953913,0.9991837692806148,75588.52,58.88999999999942,0.196299999999998,0.0,214.5431260468956,0.966082059284712,0.981134908174856,0.9665548875097484,75574.6,44.97000000000117,0.0749500000000019,0.0,119.9030300418486,0.8462687996577218,0.8772234223055726,0.8471037809441513,75512.2,-17.430000000007567,-0.019366666666675,17.430000000007567,46.34605939322387,0.653385548811654,0.6732283062547115,0.6538889371610656,75433.25,-96.38000000000466,-0.053544444444447,96.38000000000466,19.69102708891729,0.5665515050165587,0.5756199164239234,0.5667795106740927,75728.0,198.36999999999531,0.0551027777777764,0.0,104.42430720258218,0.8129482505179856,0.844066513619891,0.8137732657400527,0.055474943507088,True,0.727262528246456,0.7395594219451913,0.8068690385925413,0.699525056492912,0.699525056492912,0.7805739288048159,0.05547494350708804,0.03088115610961728,0.6009498870141761,0.39905011298582393,0.5517623122192346,0.44823768778076545,0.5996917142651141,0.40030828573488586,0.39905011298582393,0.6009498870141761,0.34860000000015134,0.6093825734407855,0.6413544970574976,0.6699412867203929,0.691049492648864,0.6047625282464559,0.577025056492912,0.7275489401033908,0.42593831891426487,0.666012528246456,0.7016075169478736,0.6304175395450384,0.6771833709952747,0.577025056492912,0.6400055700197725,0.6028277690442704,0.6721700089124765,0.6814311312432647,0.577025056492912,0.6522869982981514,0.577025056492912,train,hazard_primary_0.55,2,78.0,24.0,22.0,0.78
KXBTC15M-26APR300145-45,KXBTC15M-26APR300145-45|2026-04-30T05:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300145-45|2026-04-30T05:31:00+00:00|yes,2026-04-30 05:31:00.501471+00:00,2026-04-30 05:31:00+00:00,yes,yes,True,True,1,77.0,76.0,76.5,0.765,23.5,53.0,1.0,75471.69,75401.12,839.498529,,2819,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:45:00+00:00,1.0,70.57000000000698,2.4356234552314127,18.86625815948685,,,178.505814833609,0.3953372615104306,0.6537029981655641,148.96970375009974,0.4737204829136927,0.6821503775442355,135.25705919630147,0.5217472597684327,0.6990768425554834,135.103686302695,0.522339559572767,0.6992830349585395,75392.39,79.30000000000291,1.3216666666667152,0.0,1180.1072224950476,0.9999999999999988,1.0,1.0,75363.59,108.10000000000582,0.6005555555555879,0.0,574.7355054717009,0.9999428569782208,0.9999892736625172,0.999989502271068,75411.59,60.10000000000582,0.2003333333333527,0.0,238.74953864302327,0.9454964302696064,0.9612310561334644,0.9613991010511748,75501.13,-29.44000000000233,-0.0490666666666705,29.44000000000233,29.37860551040373,0.5781691595713114,0.585975982326734,0.5860720564519625,75542.48,-70.7899999999936,-0.0786555555555484,70.7899999999936,4.53877681344629,0.5121530071072603,0.5133846633607626,0.5133998522343896,75485.99,-14.30000000000291,-0.007944444444446,14.30000000000291,63.90065057517229,0.66602042883014,0.6816931075196127,0.6818844515443427,75587.06,-115.36999999999534,-0.0320472222222209,115.36999999999534,43.666404085916405,0.6152858227342809,0.6265918332443503,0.6267306113430869,0.0828496224557645,True,0.7235751887721178,0.7320384212777418,0.7975489359379474,0.6821503775442355,0.6821503775442355,0.7762443993171919,0.08284962245576455,0.0659231574445166,0.6356992449115291,0.36430075508847093,0.6018463148890332,0.3981536851109668,0.601433930082921,0.398566069917079,0.36430075508847093,0.6356992449115291,1.0,0.586795490807506,0.6087998953221284,0.6641477454037531,0.6821973884307138,0.6060751887721177,0.5646503775442355,0.686174474826039,0.25885039811543153,0.6648251887721177,0.7048951132632706,0.6247552642809648,0.670600251696157,0.5646503775442355,0.6295006838560291,0.5884011160159011,0.6726452901139472,0.6758299179597322,0.5646503775442355,0.6254124261851373,0.5646503775442355,train,hazard_primary_0.55,2,79.0,23.0,21.0,0.79
KXBTC15M-26APR300200-00,KXBTC15M-26APR300200-00|2026-04-30T05:55:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300200-00|2026-04-30T05:55:00+00:00|no,2026-04-30 05:55:00.175307+00:00,2026-04-30 05:55:00+00:00,no,no,True,True,1,77.0,75.0,76.0,0.76,24.0,52.0,2.0,75637.38,75683.98,299.824693,,3970,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 06:00:00+00:00,-1.0,46.59999999999127,2.6912386909651285,20.84624526155398,,,51.3373572446695,0.9077210534601464,0.8179871911293011,53.66148289076757,0.8684068626066384,0.8074141803405015,86.87523972131766,0.5364013975613404,0.7041594171336647,75.32545223136849,0.6186487916044027,0.7319261241691195,75661.03,23.64999999999418,0.3941666666665696,0.0,164.78089982412885,0.9989323841698068,0.9710697489313648,0.9856501113464454,75686.08,48.69999999999709,0.2705555555555394,0.0,127.71923638387533,0.9913458288868258,0.9292388143272052,0.9550158998596484,75640.58,3.1999999999970896,0.0106666666666569,0.0,49.79813005865503,0.823297539202019,0.7167501997063561,0.7457279232270497,75675.56,38.179999999993015,0.0636333333333216,0.0,65.67884463122111,0.8895140073284904,0.7751794166724435,0.8083778867833358,75657.23,19.84999999999127,0.0220555555555458,0.0,53.212800173377246,0.8393130846387188,0.7299030326817252,0.7600422600261831,75506.53,-130.85000000000582,-0.0726944444444476,130.85000000000582,24.804410511629182,0.6780448993019107,0.6123761912610753,0.6290342190331839,75439.76,-197.6200000000099,-0.0548944444444471,197.6200000000099,30.141290047029333,0.7128374659542804,0.6356852372215036,0.6554760532549438,-0.0474141803405014,True,0.7837070901702508,0.7320797085668324,0.7969039065141734,0.76,0.76,0.7868837619425543,0.04741418034050149,0.05584058286633531,0.385171639318997,0.614828360681003,0.5916811657326706,0.4083188342673294,0.536147751661761,0.463852248338239,0.4083188342673294,0.5916811657326706,0.0,0.7496384344426519,0.6154072422737641,0.742819217221326,0.7491489711415279,0.6637070901702508,0.6874141803405015,0.7723665980106547,0.6971581146012049,0.7237070901702507,0.7382242541021504,0.709189926238351,0.7516094535603344,0.6874141803405015,0.7269355775232273,0.7022617014861203,0.7251929862738431,0.7548553042395418,0.6874141803405015,0.7298903891755781,0.6874141803405015,train,hazard_primary_0.55,2,79.0,23.0,21.0,0.79
KXBTC15M-26APR300615-15,KXBTC15M-26APR300615-15|2026-04-30T10:13:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300615-15|2026-04-30T10:13:00+00:00|yes,2026-04-30 10:13:26.328810+00:00,2026-04-30 10:13:00+00:00,yes,no,True,False,1,90.0,89.0,89.5,0.895,10.5,79.0,1.0,76106.93,76100.82,93.67119,,4191,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:15:00+00:00,1.0,6.10999999998603,0.6313034918135975,4.8900558203933056,,,12.753328141448437,0.4790906289103055,0.6840629219528924,18.10290146151172,0.3375149565375694,0.6321356303778635,29.09294220765661,0.2100165722797887,0.5831726306687689,37.09393735871919,0.1647169439280306,0.5654166100870046,76098.1,8.829999999987194,0.1471666666664532,0.0,19.89527679496604,0.8641182330069358,0.7529657960431513,0.7041411334115837,76115.49,-8.560000000012224,-0.0475555555556234,8.560000000012224,1.6554145199796697,0.5364303802572999,0.5226879302792983,0.5177979405692635,76110.17,-3.2400000000052387,-0.0108000000000174,3.2400000000052387,5.098351147984395,0.6108870396662537,0.5695558762166435,0.5546602010461035,76088.04,18.889999999999414,0.0314833333333323,0.0,9.05908129848594,0.6916108449557437,0.6222457019169969,0.5964697800329507,76093.59,13.339999999996508,0.0148222222222183,0.0,7.498415193985666,0.6606400909457801,0.6016962169637203,0.5800989606505141,76113.55,-6.620000000009895,-0.0036777777777832,6.620000000009895,5.765498178985515,0.6249413724569403,0.5785459852455123,0.5617586996432502,76042.49,64.43999999998778,0.0178999999999966,0.0,7.786714300985713,0.6664517369887597,0.6055154753946105,0.5831344701365988,0.2628643696221365,True,0.7635678151889318,0.7390863153343845,0.7126742233480391,0.6321356303778635,0.6108870396662537,0.7593180970466098,0.26286436962213655,0.3118273693312311,0.7357287392442731,0.26427126075572693,0.8336547386624622,0.1663452613375378,0.8691667798259908,0.13083322017400922,0.1663452613375378,0.8336547386624622,0.0,0.5217763194912225,0.45812441986939956,0.7031381597456113,0.6747268637122366,0.7110678151889318,0.5796356303778636,0.6962452231221825,0.3253599647223523,0.7373178151889318,0.800390689113359,0.6742449412645045,0.7022570869185758,0.5796356303778636,0.6332746792490171,0.5642922715794585,0.774180769491159,0.7314209002771667,0.5796356303778636,0.637940426750023,0.5796356303778636,train,fallback_score_min60,1,91.0,-90.0,-91.0,0.91
KXBTC15M-26APR300630-30,KXBTC15M-26APR300630-30|2026-04-30T10:20:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300630-30|2026-04-30T10:20:00+00:00|no,2026-04-30 10:20:00.670423+00:00,2026-04-30 10:20:00+00:00,no,no,True,True,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,76004.23,76046.47,599.329577,,4536,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:30:00+00:00,-1.0,42.24000000000524,1.7254050076798817,13.364929720414125,,,65.27680372810117,0.6470905066974233,0.7412133154907959,62.657336021422765,0.6741429285401351,0.7498897753132518,62.44701949095017,0.6764133876097428,0.7506108901348765,97.22801417493774,0.4344426897787382,0.6680164983329755,76023.99,19.760000000009317,0.3293333333334886,0.0,239.61920735876487,0.9999344226453072,0.9999377673167188,0.9931399227208024,76014.15,9.919999999998254,0.0551111111111014,0.0,75.26971891022166,0.8851809073747335,0.8859634330133617,0.7805809356016535,76020.04,15.809999999997672,0.0526999999999922,0.0,73.82466870790059,0.8806472690183714,0.8814361956189352,0.7761617113627067,76115.49,111.26000000000931,0.1854333333333488,0.0,153.3756812283812,0.992814401393534,0.9929771578959656,0.9426579522372216,76112.37,108.13999999999942,0.1201555555555549,0.0,114.25277828531596,0.9658826809964958,0.9663447673692656,0.8800229302560157,76138.0,133.77000000000407,0.0743166666666689,0.0,86.78017639738994,0.9169731953603724,0.9176840514177586,0.8139490027870528,76049.36,45.13000000000466,0.0125361111111124,0.0,49.75326216945324,0.7864177880369377,0.787195366157663,0.6955755806740045,-0.0148897753132518,True,0.7424448876566259,0.7428054450674382,0.788512348110541,0.735,0.735,0.7685963863976498,0.014889775313251863,0.015610890134876487,0.5002204493734963,0.4997795506265037,0.49877821973024705,0.501221780269753,0.663967003334049,0.336032996665951,0.4997795506265037,0.5002204493734963,0.0,0.6748567079072274,0.6757941571753394,0.6916783539536138,0.7062430808554507,0.6099448876566259,0.6173897753132518,0.7450743414603002,0.5878442775283408,0.6761948876566259,0.6997169325939755,0.6526728427192763,0.7007598502088346,0.6173897753132518,0.6711277915749521,0.6414957329410697,0.6790288172631553,0.703818829950353,0.6173897753132518,0.6812320583867759,0.6173897753132518,train,hazard_primary_0.55,2,76.0,26.0,24.0,0.76
KXBTC15M-26APR300645-45,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00|yes,2026-04-30 10:31:00.470382+00:00,2026-04-30 10:31:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76016.56,75967.08,839.529618,,5093,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:45:00+00:00,1.0,49.479999999995925,1.7077003985831378,13.22779040804852,,,110.6430258921157,0.4472039660976211,0.6726361009817649,87.79378694485337,0.5635934127215199,0.7134845645576559,81.82447770866072,0.6047090233337195,0.7273138242128087,94.81478818140069,0.5218595215899259,0.6991159282258175,75964.49,52.06999999999243,0.8678333333332072,0.0,778.0517868208901,1.0,1.0,1.0,76000.7,15.860000000000582,0.0881111111111143,0.0,123.4518874526653,0.9201613117893852,0.9343174193969506,0.9035472751275933,75977.2,39.36000000000058,0.1312000000000019,0.0,159.62628588159757,0.9654828864736807,0.9744618294656768,0.953866531821091,76011.05,5.509999999994761,0.0091833333333246,0.0,57.1896803252886,0.7426088125993472,0.7577024856975347,0.7268030563342158,76042.51,-25.94999999999709,-0.0288333333333301,25.94999999999709,25.27356268099864,0.6132784663778673,0.6212918187719345,0.6050949362929713,76086.96,-70.40000000000873,-0.0391111111111159,70.40000000000873,16.64506382932519,0.5751858581284721,0.5805981847567989,0.5696776148140288,76277.55,-260.99000000000524,-0.0724972222222236,260.99000000000524,-11.383565278288636,0.4484167111274516,0.4446769670664554,0.452217383956507,0.0015154354423441,True,0.7142422822788279,0.7211569121064043,0.7979891503437789,0.7134845645576559,0.7134845645576559,0.7646419466620329,0.0015154354423441152,0.012313824212808688,0.5730308708846883,0.4269691291153117,0.5453723515743827,0.4546276484256173,0.601768143548365,0.39823185645163495,0.4269691291153117,0.5730308708846883,0.5189999999999418,0.6275299339249526,0.6455079714766512,0.6570149669624763,0.6820632556098444,0.5717422822788278,0.5709845645576559,0.709888859573567,0.41971741776269145,0.6429922822788279,0.6717953693672967,0.6141891951903591,0.6664897097051039,0.5709845645576559,0.632722124907522,0.5989545401099401,0.6463038002866834,0.6695189932416705,0.5709845645576559,0.6404367120656114,0.5709845645576559,train,hazard_primary_0.55,2,74.0,28.0,26.0,0.74
KXBTC15M-26APR300715-15,KXBTC15M-26APR300715-15|2026-04-30T11:03:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300715-15|2026-04-30T11:03:00+00:00|yes,2026-04-30 11:03:00.685496+00:00,2026-04-30 11:03:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76053.16,76009.5,719.314504,,6883,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:15:00+00:00,1.0,43.66000000000349,1.627887253805099,12.60956044698095,,,44.733149237653336,0.9760099779260224,0.8354702401206948,56.6332472024854,0.7709252454464139,0.7796243788331116,67.28618985092456,0.6488701484916013,0.7417888444353828,72.5796478834815,0.6015460431840994,0.7262618227977922,76028.0,25.16000000000349,0.4193333333333915,0.0,345.2925486773788,0.999999999459591,0.9999998564316432,0.9999990196308772,75994.3,58.86000000000058,0.3270000000000032,0.0,278.8758428080058,0.9999995765611832,0.9999829812868152,0.9999390671138692,75995.09,58.070000000006985,0.1935666666666899,0.0,182.89531082428687,0.9993798981637018,0.9967177961525506,0.9941310174726776,76002.06,51.10000000000582,0.0851666666666763,0.0,104.92161859067714,0.9680337715331018,0.94054128185752,0.925856213919528,76022.0,31.16000000000349,0.0346222222222261,0.0,68.56426660516183,0.8869893632905659,0.8458972437072889,0.8275878966371925,76051.25,1.9100000000034925,0.001061111111113,0.0,44.42327261258266,0.7835980757822889,0.7454416884339572,0.7297517594504123,76088.04,-34.879999999990105,-0.0096888888888861,34.879999999990105,36.69064169458325,0.741463539511525,0.7072237528800296,0.6934040341076468,-0.0646243788331116,True,0.7473121894165557,0.7283944222176915,0.8313347589989378,0.715,0.715,0.7912632932826739,0.06462437883311167,0.026788844435382875,0.4407512423337767,0.5592487576662233,0.5164223111292343,0.4835776888707657,0.5474763544044157,0.45252364559558433,0.4835776888707657,0.5164223111292343,0.0,0.7135116924830451,0.6643254977659976,0.7000058462415226,0.7284438360578926,0.6048121894165558,0.6371243788331116,0.7756881690492962,0.6591867474825934,0.6760621894165557,0.6916373136499334,0.660487065183178,0.7105829192220744,0.6371243788331116,0.6814533367443794,0.6523237542666842,0.6772907882668281,0.7141023255954768,0.6371243788331116,0.7064062739412038,0.6371243788331116,train,hazard_primary_0.55,2,74.0,28.0,26.0,0.74
