market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,trust_state,outcome_method,outcome_source,close_dt,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv30,score_mean_book_rv15_drift5,score_min_book_rv15,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p,fair_edge_cents
KXBTC15M-26APR300045-45,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300045-45|2026-04-30T04:34:00+00:00|no,2026-04-30 04:34:41.053024+00:00,2026-04-30 04:34:00+00:00,no,no,True,True,1,92.0,92.0,92.0,0.92,8.0,84.0,0.0,75508.0,75682.34,618.946976,,1,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 04:45:00+00:00,-1.0,174.3399999999965,7.007616377254713,54.28076305143571,,,58.54749083537739,2.977753572569012,0.9985481532893996,73.64416920292199,2.3673293064059604,0.9910415086278004,73.50065968628374,2.371951500083349,0.9911527934018792,73.20239322049241,2.3816161238727296,0.9913815723812124,75516.89,8.889999999999418,0.1481666666666569,0.0,266.04731027732385,0.9998484319829224,0.9998525041387766,0.9998606897795386,75587.06,79.05999999999767,0.4392222222222093,0.0,446.1952662364329,0.9999999993142944,0.9999999993629504,0.999999999454058,75668.95,160.9499999999971,0.5364999999999903,0.0,506.4050526239905,0.9999999999969302,0.9999999999972063,0.9999999999977076,75641.28,133.27999999999884,0.2221333333333314,0.0,311.828754935462,0.9999885348588012,0.9999889493015208,0.9999897702552164,75680.01,172.00999999999476,0.1911222222222164,0.0,292.6345214908373,0.9999646069323916,0.9999657427571724,0.9999680071901668,75842.25,334.25,0.1856944444444444,0.0,289.2750148488854,0.9999571741307478,0.999958519127508,0.9999612034850488,75857.3,349.3000000000029,0.0970277777777785,0.0,234.39504964355257,0.9992707216322758,0.999286219187346,0.9993176469343774,-0.0710415086278003,True,0.9555207543139002,0.9555763967009396,0.970347169541577,0.92,0.92,0.9573124525877261,0.07104150862780034,0.07115279340187919,0.017916982744399235,0.9820830172556008,0.017694413196241543,0.9823055868037585,0.01723685523757501,0.982763144762425,0.9820830172556008,0.017916982744399235,0.0,0.9883539612161405,0.9884986314224429,0.9501769806080704,0.9581769806077634,0.9155207543139002,0.9510415086278003,0.9635207543132863,1.0820830172552938,0.9355207543139001,0.92931245258834,0.9417290560394602,0.9540276724185336,0.92,0.9394880033045356,0.9249483341905377,0.9372896562585998,0.9668081431061433,0.92,0.9572811314705434,0.9510415086278003,train,1,93.0,8.0,7.0,0.93,3.6808143106143234
KXBTC15M-26APR300115-15,KXBTC15M-26APR300115-15|2026-04-30T05:02:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300115-15|2026-04-30T05:02:00+00:00|yes,2026-04-30 05:02:00.541939+00:00,2026-04-30 05:02:00+00:00,yes,yes,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,75512.2,75467.68,779.458061,,1329,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:15:00+00:00,1.0,44.52000000000408,1.5946257737515204,12.35191813034551,,,96.34817408809538,0.4620741432971784,0.6779859241073795,90.3122889312997,0.4929561693854344,0.6889782211980446,132.3459121968976,0.336391198345208,0.6317120570662863,110.90393414007193,0.401428500667751,0.6559476653019883,75485.99,26.20999999999185,0.4368333333331975,0.0,385.0132629800649,0.9999899209591844,0.9981878982342014,0.9997413094481284,75458.92,53.27999999999884,0.2959999999999935,0.0,275.2395860559991,0.998846779976812,0.9812233989862756,0.9934636715910076,75434.61,77.58999999999651,0.2586333333333216,0.0,246.1138365099617,0.996786310807421,0.96853073731492,0.9867621596940576,75457.92,54.27999999999884,0.0904666666666647,0.0,115.0349725851359,0.8986233853799623,0.8076309314639434,0.8501900397439305,75433.25,78.94999999999709,0.0877222222222189,0.0,112.895793239946,0.894361211841262,0.8031802577749639,0.8456515695108248,75558.33,-46.13000000000466,-0.0256277777777803,46.13000000000466,24.5442220255965,0.6071007813254288,0.5735639458571609,0.5875747219246418,75902.86,-390.6600000000035,-0.1085166666666676,390.6600000000035,-40.06419058618002,0.3286592603332995,0.3810503718201052,0.3589557972449644,0.0060217788019553,True,0.6919891105990224,0.6633560285331431,0.7935881773351552,0.6889782211980446,0.6889782211980446,0.7535507285208976,0.006021778801955313,0.06328794293371365,0.6220435576039107,0.3779564423960893,0.7365758858674274,0.2634241141325726,0.6881046693960233,0.3118953306039767,0.2634241141325726,0.7365758858674274,0.0,0.5956716875574579,0.5212256741861722,0.6300858437787289,0.660264474859471,0.5394891105990223,0.5364782211980447,0.7218463727605064,0.4776350734768314,0.6157391105990223,0.6474434663594133,0.5840347548386312,0.6401521474653631,0.5364782211980447,0.6034772748326691,0.5668024021999751,0.618901045182854,0.6429917789858959,0.5364782211980447,0.6291622969792756,0.5364782211980447,train,2,72.0,30.0,28.0,0.72,-7.7008221014104095
KXBTC15M-26APR300130-30,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300130-30|2026-04-30T05:17:00+00:00|no,2026-04-30 05:17:00.106337+00:00,2026-04-30 05:17:00+00:00,no,no,True,True,1,76.0,75.0,75.5,0.755,24.5,51.0,1.0,75529.63,75591.08,779.893663,,2109,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:30:00+00:00,-1.0,61.44999999999709,2.2004129461827047,17.044325390689625,,,74.10979871476923,0.8291751032343692,0.7964973345865367,117.48735417739458,0.5230350145362327,0.699525056492912,103.25623988534684,0.5951214189886213,0.7241188438903827,117.08243264386827,0.5248438951290895,0.7001541428674429,75542.48,12.849999999991269,0.2141666666665211,0.0,228.47722615905025,0.9740942310720524,0.986541548574374,0.9744965623135596,75600.57,70.94000000000233,0.394111111111124,0.0,368.8147580734516,0.9991529131045344,0.999822758953913,0.9991837692806148,75588.52,58.88999999999942,0.196299999999998,0.0,214.5431260468956,0.966082059284712,0.981134908174856,0.9665548875097484,75574.6,44.97000000000117,0.0749500000000019,0.0,119.9030300418486,0.8462687996577218,0.8772234223055726,0.8471037809441513,75512.2,-17.430000000007567,-0.019366666666675,17.430000000007567,46.34605939322387,0.653385548811654,0.6732283062547115,0.6538889371610656,75433.25,-96.38000000000466,-0.053544444444447,96.38000000000466,19.69102708891729,0.5665515050165587,0.5756199164239234,0.5667795106740927,75728.0,198.36999999999531,0.0551027777777764,0.0,104.42430720258218,0.8129482505179856,0.844066513619891,0.8137732657400527,0.055474943507088,True,0.727262528246456,0.7395594219451913,0.8068690385925413,0.699525056492912,0.699525056492912,0.7805739288048159,0.05547494350708804,0.03088115610961728,0.6009498870141761,0.39905011298582393,0.5517623122192346,0.44823768778076545,0.5996917142651141,0.40030828573488586,0.39905011298582393,0.6009498870141761,0.34860000000015134,0.6093825734407855,0.6413544970574976,0.6699412867203929,0.691049492648864,0.6047625282464559,0.577025056492912,0.7275489401033908,0.42593831891426487,0.666012528246456,0.7016075169478736,0.6304175395450384,0.6771833709952747,0.577025056492912,0.6400055700197725,0.6028277690442704,0.6721700089124765,0.6814311312432647,0.577025056492912,0.6522869982981514,0.577025056492912,train,2,78.0,24.0,22.0,0.78,-9.856886875673524
KXBTC15M-26APR300145-45,KXBTC15M-26APR300145-45|2026-04-30T05:33:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300145-45|2026-04-30T05:33:00+00:00|yes,2026-04-30 05:33:00.502179+00:00,2026-04-30 05:33:00+00:00,yes,yes,True,True,1,86.0,85.0,85.5,0.855,14.5,71.0,1.0,75500.92,75401.12,719.497821,,2939,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 05:45:00+00:00,1.0,99.80000000000292,3.72062414230866,28.81983068131739,,,114.56679536137185,0.8711075463462966,0.8081522829500485,139.13352499738187,0.717296568184274,0.7634044378381677,124.61360580176384,0.800875629574233,0.7883981750501992,123.60975744564306,0.807379628132428,0.7902760999166261,75490.87,10.05000000000291,0.1675000000000485,0.0,220.31588501753785,0.943344547357274,0.961468897481695,0.9626539354274848,75392.39,108.52999999999884,0.602944444444438,0.0,533.6172139618316,0.9999372915146204,0.9999907462154842,0.999992090021944,75363.59,137.33000000000175,0.4577666666666725,0.0,429.1621191931071,0.9989806442274334,0.9997133514160972,0.9997416165179646,75553.65,-52.729999999995925,-0.0878833333333265,52.729999999995925,36.56813316445779,0.6036582767724123,0.6154117235255383,0.6163220790504313,75513.84,-12.919999999998254,-0.0143555555555536,12.919999999998254,89.47120905853764,0.7399074263513585,0.7636179921663517,0.7654118615910006,75525.0,-24.080000000001743,-0.0133777777777787,24.080000000001743,90.17471803906888,0.7415451632264372,0.7653549562573491,0.7671555288400351,75516.89,-15.970000000001164,-0.0044361111111114,15.970000000001164,96.60822772184434,0.7562705772341596,0.7809076522934228,0.782762889233778,0.0915955621618322,True,0.8092022189190838,0.8216990875250996,0.872461694021867,0.7634044378381677,0.7634044378381677,0.856317460196937,0.09159556216183229,0.06660182494980083,0.4731911243236646,0.5268088756763354,0.4232036498996017,0.5767963501003983,0.4194478001667479,0.5805521998332521,0.5268088756763354,0.4731911243236646,0.2583999999999651,0.692425769189618,0.7249176275652589,0.766462884594809,0.7808609490175524,0.7367022189190838,0.6909044378381677,0.8105783477645723,0.5750269400990857,0.7729522189190838,0.8057713313514502,0.7401331064867174,0.7697696252254452,0.6909044378381677,0.7361982458273173,0.7026268664291893,0.7840387373094685,0.7773087766598769,0.6909044378381677,0.75074139280137,0.6909044378381677,train,1,87.0,14.0,13.0,0.87,-9.269122334012309
KXBTC15M-26APR300200-00,KXBTC15M-26APR300200-00|2026-04-30T05:50:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300200-00|2026-04-30T05:50:00+00:00|no,2026-04-30 05:50:00.176115+00:00,2026-04-30 05:50:00+00:00,no,no,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,75640.58,75683.98,599.823885,,3670,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 06:00:00+00:00,-1.0,43.39999999999418,1.7720576713140956,13.726299699037178,,,20.820670475172054,2.084466974862659,0.9814411443941624,102.37454859813708,0.4239334931805885,0.6641928415259859,124.03745097806892,0.349894323510951,0.6367909963599339,107.56542927571223,0.403475357205623,0.6567007201331276,75638.2,-2.3800000000046566,-0.0396666666667442,2.3800000000046566,19.606985894947627,0.5759417060496648,0.5628004061836637,0.5723183553562877,75661.28,20.69999999999709,0.1149999999999838,0.0,112.37974677498448,0.8638390819958119,0.8175359487921654,0.8519323782940469,75675.56,34.979999999995925,0.1165999999999864,0.0,113.33946499098604,0.8658759237755458,0.8195764049612395,0.853985112774564,75657.23,16.64999999999418,0.0277499999999903,0.0,60.04511280873837,0.7212382253181113,0.6858384951683894,0.711652723323694,75615.0,-25.580000000001743,-0.0284222222222241,25.580000000001743,26.35167224632635,0.6015667456728673,0.5841217444000308,0.5967650973028464,75516.87,-123.7100000000064,-0.0687277777777813,123.7100000000064,2.1754373259087174,0.5084768004228887,0.5069965113742382,0.508067785102918,75457.85,-182.72999999999595,-0.0507583333333322,182.72999999999595,12.953939303869856,0.5503456835877044,0.5415882075765959,0.547928127310542,0.030807158474014,True,0.679596420762993,0.665895498179967,0.7416895884338439,0.6641928415259859,0.6641928415259859,0.7199330372129049,0.03080715847401405,0.05820900364006609,0.6716143169480284,0.3283856830519716,0.7264180072801323,0.2735819927198677,0.6865985597337447,0.31340144026625527,0.2735819927198677,0.7264180072801323,0.5116000000000348,0.5634506939837816,0.527828295267914,0.6139753469918907,0.6310629393694454,0.5270964207629929,0.5116928415259858,0.6576916055181004,0.3126532754295192,0.6033464207629928,0.6400078524577957,0.5666849890681901,0.6236285610173239,0.5116928415259858,0.5835568040746355,0.543485047131947,0.6071123048366861,0.6265564014132116,0.5116928415259858,0.5846922235220431,0.5116928415259858,train,2,72.0,30.0,28.0,0.72,-9.344359858678843
KXBTC15M-26APR300630-30,KXBTC15M-26APR300630-30|2026-04-30T10:20:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300630-30|2026-04-30T10:20:00+00:00|no,2026-04-30 10:20:00.670423+00:00,2026-04-30 10:20:00+00:00,no,no,True,True,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,76004.23,76046.47,599.329577,,4536,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:30:00+00:00,-1.0,42.24000000000524,1.7254050076798817,13.364929720414125,,,65.27680372810117,0.6470905066974233,0.7412133154907959,62.657336021422765,0.6741429285401351,0.7498897753132518,62.44701949095017,0.6764133876097428,0.7506108901348765,97.22801417493774,0.4344426897787382,0.6680164983329755,76023.99,19.760000000009317,0.3293333333334886,0.0,239.61920735876487,0.9999344226453072,0.9999377673167188,0.9931399227208024,76014.15,9.919999999998254,0.0551111111111014,0.0,75.26971891022166,0.8851809073747335,0.8859634330133617,0.7805809356016535,76020.04,15.809999999997672,0.0526999999999922,0.0,73.82466870790059,0.8806472690183714,0.8814361956189352,0.7761617113627067,76115.49,111.26000000000931,0.1854333333333488,0.0,153.3756812283812,0.992814401393534,0.9929771578959656,0.9426579522372216,76112.37,108.13999999999942,0.1201555555555549,0.0,114.25277828531596,0.9658826809964958,0.9663447673692656,0.8800229302560157,76138.0,133.77000000000407,0.0743166666666689,0.0,86.78017639738994,0.9169731953603724,0.9176840514177586,0.8139490027870528,76049.36,45.13000000000466,0.0125361111111124,0.0,49.75326216945324,0.7864177880369377,0.787195366157663,0.6955755806740045,-0.0148897753132518,True,0.7424448876566259,0.7428054450674382,0.788512348110541,0.735,0.735,0.7685963863976498,0.014889775313251863,0.015610890134876487,0.5002204493734963,0.4997795506265037,0.49877821973024705,0.501221780269753,0.663967003334049,0.336032996665951,0.4997795506265037,0.5002204493734963,0.0,0.6748567079072274,0.6757941571753394,0.6916783539536138,0.7062430808554507,0.6099448876566259,0.6173897753132518,0.7450743414603002,0.5878442775283408,0.6761948876566259,0.6997169325939755,0.6526728427192763,0.7007598502088346,0.6173897753132518,0.6711277915749521,0.6414957329410697,0.6790288172631553,0.703818829950353,0.6173897753132518,0.6812320583867759,0.6173897753132518,train,2,76.0,26.0,24.0,0.76,-5.618117004964688
KXBTC15M-26APR300645-45,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300645-45|2026-04-30T10:31:00+00:00|yes,2026-04-30 10:31:00.470382+00:00,2026-04-30 10:31:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76016.56,75967.08,839.529618,,5093,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 10:45:00+00:00,1.0,49.479999999995925,1.7077003985831378,13.22779040804852,,,110.6430258921157,0.4472039660976211,0.6726361009817649,87.79378694485337,0.5635934127215199,0.7134845645576559,81.82447770866072,0.6047090233337195,0.7273138242128087,94.81478818140069,0.5218595215899259,0.6991159282258175,75964.49,52.06999999999243,0.8678333333332072,0.0,778.0517868208901,1.0,1.0,1.0,76000.7,15.860000000000582,0.0881111111111143,0.0,123.4518874526653,0.9201613117893852,0.9343174193969506,0.9035472751275933,75977.2,39.36000000000058,0.1312000000000019,0.0,159.62628588159757,0.9654828864736807,0.9744618294656768,0.953866531821091,76011.05,5.509999999994761,0.0091833333333246,0.0,57.1896803252886,0.7426088125993472,0.7577024856975347,0.7268030563342158,76042.51,-25.94999999999709,-0.0288333333333301,25.94999999999709,25.27356268099864,0.6132784663778673,0.6212918187719345,0.6050949362929713,76086.96,-70.40000000000873,-0.0391111111111159,70.40000000000873,16.64506382932519,0.5751858581284721,0.5805981847567989,0.5696776148140288,76277.55,-260.99000000000524,-0.0724972222222236,260.99000000000524,-11.383565278288636,0.4484167111274516,0.4446769670664554,0.452217383956507,0.0015154354423441,True,0.7142422822788279,0.7211569121064043,0.7979891503437789,0.7134845645576559,0.7134845645576559,0.7646419466620329,0.0015154354423441152,0.012313824212808688,0.5730308708846883,0.4269691291153117,0.5453723515743827,0.4546276484256173,0.601768143548365,0.39823185645163495,0.4269691291153117,0.5730308708846883,0.5189999999999418,0.6275299339249526,0.6455079714766512,0.6570149669624763,0.6820632556098444,0.5717422822788278,0.5709845645576559,0.709888859573567,0.41971741776269145,0.6429922822788279,0.6717953693672967,0.6141891951903591,0.6664897097051039,0.5709845645576559,0.632722124907522,0.5989545401099401,0.6463038002866834,0.6695189932416705,0.5709845645576559,0.6404367120656114,0.5709845645576559,train,2,74.0,28.0,26.0,0.74,-7.048100675832941
KXBTC15M-26APR300715-15,KXBTC15M-26APR300715-15|2026-04-30T11:03:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300715-15|2026-04-30T11:03:00+00:00|yes,2026-04-30 11:03:00.685496+00:00,2026-04-30 11:03:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76053.16,76009.5,719.314504,,6883,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:15:00+00:00,1.0,43.66000000000349,1.627887253805099,12.60956044698095,,,44.733149237653336,0.9760099779260224,0.8354702401206948,56.6332472024854,0.7709252454464139,0.7796243788331116,67.28618985092456,0.6488701484916013,0.7417888444353828,72.5796478834815,0.6015460431840994,0.7262618227977922,76028.0,25.16000000000349,0.4193333333333915,0.0,345.2925486773788,0.999999999459591,0.9999998564316432,0.9999990196308772,75994.3,58.86000000000058,0.3270000000000032,0.0,278.8758428080058,0.9999995765611832,0.9999829812868152,0.9999390671138692,75995.09,58.070000000006985,0.1935666666666899,0.0,182.89531082428687,0.9993798981637018,0.9967177961525506,0.9941310174726776,76002.06,51.10000000000582,0.0851666666666763,0.0,104.92161859067714,0.9680337715331018,0.94054128185752,0.925856213919528,76022.0,31.16000000000349,0.0346222222222261,0.0,68.56426660516183,0.8869893632905659,0.8458972437072889,0.8275878966371925,76051.25,1.9100000000034925,0.001061111111113,0.0,44.42327261258266,0.7835980757822889,0.7454416884339572,0.7297517594504123,76088.04,-34.879999999990105,-0.0096888888888861,34.879999999990105,36.69064169458325,0.741463539511525,0.7072237528800296,0.6934040341076468,-0.0646243788331116,True,0.7473121894165557,0.7283944222176915,0.8313347589989378,0.715,0.715,0.7912632932826739,0.06462437883311167,0.026788844435382875,0.4407512423337767,0.5592487576662233,0.5164223111292343,0.4835776888707657,0.5474763544044157,0.45252364559558433,0.4835776888707657,0.5164223111292343,0.0,0.7135116924830451,0.6643254977659976,0.7000058462415226,0.7284438360578926,0.6048121894165558,0.6371243788331116,0.7756881690492962,0.6591867474825934,0.6760621894165557,0.6916373136499334,0.660487065183178,0.7105829192220744,0.6371243788331116,0.6814533367443794,0.6523237542666842,0.6772907882668281,0.7141023255954768,0.6371243788331116,0.7064062739412038,0.6371243788331116,train,2,74.0,28.0,26.0,0.74,-2.58976744045232
KXBTC15M-26APR300730-30,KXBTC15M-26APR300730-30|2026-04-30T11:22:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300730-30|2026-04-30T11:22:00+00:00|no,2026-04-30 11:22:00.593311+00:00,2026-04-30 11:22:00+00:00,no,no,True,True,1,79.0,78.0,78.5,0.785,21.5,57.0,1.0,76086.14,76141.65,479.406689,,7826,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:30:00+00:00,-1.0,55.50999999999476,2.5352406089739183,19.63788931436947,,,53.60087262975225,1.0356174680854506,0.8498096803244379,84.37846373647535,0.6578692896490689,0.7446889370827813,70.04441673622952,0.7924971409074918,0.7859645708989769,67.45618613945243,0.8229045129417594,0.7947188519313686,76113.46,27.320000000006985,0.4553333333334498,0.0,273.7998457247172,0.9994125447474806,0.9999536501684274,0.9999753508124783,76118.34,32.19999999999709,0.1788888888888727,0.0,141.2705299210981,0.9529591301684044,0.978145494361284,0.9818814140435888,76126.57,40.43000000000757,0.1347666666666919,0.0,120.11804145424018,0.9227134634857656,0.9568167410634144,0.9625178226286568,76161.72,75.58000000000175,0.1259666666666695,0.0,115.8992625910295,0.9152115383053152,0.9510026314785268,0.9571145817413744,76080.35,-5.789999999993597,-0.0064333333333262,5.789999999993597,52.42581696743151,0.732804632403608,0.7729102329167663,0.7814746640748136,76021.45,-64.69000000000233,-0.0359388888888901,64.69000000000233,38.28065627143303,0.6749697135108917,0.7076456380731054,0.7148090647289974,76009.33,-76.80999999999767,-0.0213361111111104,76.80999999999767,45.28132561608118,0.7042437569833775,0.7410111569838893,0.7489757833008409,0.0403110629172187,True,0.7648444685413907,0.7854822854494885,0.8174674668561823,0.7446889370827813,0.7446889370827813,0.8004493738219876,0.040311062917218754,0.0009645708989768353,0.5106221258344374,0.48937787416556255,0.42807085820204627,0.5719291417979537,0.4105622961372628,0.5894377038627372,0.48937787416556255,0.5106221258344374,0.11579999999987195,0.6680956182076156,0.7217539421686698,0.7157978091038079,0.7295691554523844,0.6573444685413907,0.6371889370827812,0.7650971612385502,0.5584892205141647,0.7110944685413907,0.7406566811248343,0.6815322559579469,0.7222926247218542,0.6371889370827812,0.6910990792204056,0.659905533718957,0.7168956727244338,0.7263610917405151,0.6371889370827812,0.7011430491606657,0.6371889370827812,train,2,81.0,21.0,19.0,0.81,-8.363890825948488
KXBTC15M-26APR300745-45,KXBTC15M-26APR300745-45|2026-04-30T11:33:00+00:00,v21_native_passive_ticker_minute,KXBTC15M-26APR300745-45|2026-04-30T11:33:00+00:00|no,2026-04-30 11:33:00.184780+00:00,2026-04-30 11:33:00+00:00,no,no,True,True,1,81.0,80.0,80.5,0.805,19.5,61.0,1.0,76013.91,76087.38,719.81522,,8399,synced,coinbase_close_vs_recorded_strike,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\coinbase_btc_usd_1m_cache.parquet,2026-04-30 11:45:00+00:00,-1.0,73.47000000000116,2.7384166531002325,21.211684184868503,,,68.53454039692035,1.0720141927631952,0.8581431712935661,59.781667563599605,1.2289720744547483,0.8904588618168052,88.88313211561024,0.8265910330931945,0.7957655492601847,78.1888206399476,0.9396483972858964,0.8263010287565025,76060.6,46.69000000000233,0.7781666666667054,0.0,633.6062103633624,1.0,0.9999999999994929,0.9999999999999998,76082.6,68.69000000000233,0.381611111111124,0.0,348.15948589889933,0.9999999971246464,0.9999551800284396,0.9999957621923022,76080.56,66.64999999999418,0.2221666666666472,0.0,233.3889480433205,0.9999526964211408,0.9956776659767996,0.9985818308159372,76096.23,82.31999999999243,0.1371999999999874,0.0,172.22864818399208,0.9980176760468308,0.973669947801648,0.98619301183227,76144.21,130.3000000000029,0.144777777777781,0.0,177.68324796222572,0.9985216441038136,0.9771993937185374,0.988471509247564,76053.16,39.25,0.0218055555555555,0.0,89.16597076944561,0.9320884049303486,0.8421135059197603,0.8729386615310679,76051.25,37.33999999999651,0.0103722222222212,0.0,80.93608342077825,0.9121096765531072,0.8187442560041406,0.849697359721677,-0.0854588618168051,True,0.8477294309084027,0.8003827746300924,0.8984705194126487,0.805,0.805,0.8696281978292698,0.08545886181680518,0.009234450739815325,0.21908227636638955,0.7809177236336104,0.40846890147963055,0.5915310985203694,0.34739794248699507,0.6526020575130049,0.5915310985203694,0.40846890147963055,0.0,0.8575965203618467,0.7344952140382401,0.8215482601809235,0.8410435298230374,0.7502294309084027,0.7929588618168053,0.8672199701926309,0.8809129932757245,0.7989794309084026,0.8013876585450416,0.7965712032717636,0.8294725745445369,0.7929588618168053,0.8077710282147305,0.7860694818849239,0.7990469292203096,0.8346172975219744,0.7929588618168053,0.8300894160047181,0.7929588618168053,train,2,83.0,19.0,17.0,0.83,0.46172975219744217
