market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR302230-30,heartbeat:19,live_heartbeat_two_side,heartbeat:19:yes,2026-05-01 02:17:13.847000+00:00,2026-05-01 02:17:00+00:00,yes,no,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76692.19,76652.0,766.153,,19,True,False,synced,bid>=98,latest_quote,1.0,40.19000000000233,1.4519787250295495,11.246978842173847,,,85.90181827433608,0.4678597124877092,0.6800575422186286,95.58891680873482,0.4204462331173712,0.6629202501745215,92.90280127955567,0.4326026712484782,0.6673482757565203,73.91878664535561,0.543704812050341,0.7066776897367746,76660.69,31.5,0.525,0.0,442.4203250000024,0.999998157173292,0.999999042459955,0.9999999989195234,76675.97,16.220000000001164,0.0901111111111175,0.0,109.2288981111184,0.8734172047342783,0.8801492254103644,0.9302543354388108,76666.59,25.60000000000582,0.0853333333333527,0.0,105.56838933335052,0.8652901460334934,0.8720910959383869,0.9233781359169072,76640.06,52.13000000000466,0.0868833333333411,0.0,106.7559264833416,0.8679650510362977,0.8747455493534293,0.9256632308024992,76639.27,52.919999999998254,0.058799999999998,0.0,85.23979640000084,0.8137319830353651,0.8205638148973528,0.8755765538422122,76600.93,91.26000000000931,0.0507000000000051,0.0,79.03395710000629,0.7958278708417323,0.8025366057504563,0.8575101914357344,76586.55,105.63999999999942,0.0293444444444442,0.0,62.67233414444665,0.7439735116700699,0.7500353905828219,0.8017403393118707,0.0320797498254784,True,0.6789601250872608,0.7410701320693382,0.6629202501745215,heartbeat:19,two_side_all_heartbeats,0.6811741378782601,0.6629202501745215,0.7194341042590551,0.032079749825478454,0.027651724243479614,2026-05-01 02:30:00+00:00,train,2,72.0,-70.0,-72.0,0.72
KXBTC15M-26APR302245-45,heartbeat:118,live_heartbeat_two_side,heartbeat:118:no,2026-05-01 02:31:00.060000+00:00,2026-05-01 02:31:00+00:00,no,no,True,True,1,57.0,56.0,56.5,0.565,43.5,13.0,1.0,76578.0,76603.27,839.94,,118,False,False,synced,bid>=98,latest_quote,-1.0,25.270000000004075,0.8719289751058416,6.753932799321253,,,45.16551675313824,0.5594976392747292,0.712088929047024,73.90501131238867,0.3419253924905099,0.6337964801652031,85.46348748494923,0.2956818255802434,0.6162634610029452,80.37084176302866,0.314417510700112,0.6233980207972516,76597.08,19.080000000001743,0.3180000000000291,0.0,292.37092000002855,0.9999618982335507,0.99968804775861,0.9998624974603147,76609.75,31.75,0.1763888888888889,0.0,173.42608333333743,0.9905274100282356,0.9787831672920216,0.984529217726577,76593.83,15.830000000001746,0.0527666666666724,0.0,69.59083400000895,0.8268077632482933,0.7922564625688377,0.806719726401564,76576.75,-1.25,-0.0020833333333333,1.25,23.520125000004075,0.6248516025853331,0.6084212829739826,0.6151032431849485,76660.69,82.69000000000233,0.0918777777777803,0.0,102.44182066667292,0.9171461203477252,0.8846702679725528,0.8987770954357064,76654.17,76.16999999999825,0.0423166666666657,0.0,60.81346100000327,0.7947061302234291,0.7616352060601644,0.7753734307626238,76502.43,-75.57000000000698,-0.0209916666666686,75.57000000000698,7.638259500002441,0.5411583512229045,0.5356078699198868,0.5378575567058268,-0.0687964801652031,True,0.5993982400826015,0.6752014144711653,0.565,heartbeat:118,two_side_all_heartbeats,0.5906317305014726,0.565,0.6380004966992195,0.06879648016520312,0.05126346100294521,2026-05-01 02:45:00+00:00,train,2,59.0,43.0,41.0,0.59
KXBTC15M-26APR302300-00,heartbeat:199,live_heartbeat_two_side,heartbeat:199:no,2026-05-01 02:45:31.363000+00:00,2026-05-01 02:45:00+00:00,no,no,True,True,1,51.0,50.0,50.5,0.505,49.5,1.0,1.0,76563.28,76574.18,868.637,,199,False,False,synced,bid>=98,latest_quote,-1.0,10.89999999999418,0.3698344266635907,2.86472515064451,,,23.36652526520774,0.4664792850575882,0.6795637641331405,55.559760112925616,0.1961851523087905,0.5777673755095373,65.89432160093675,0.1654163778482427,0.565691868204953,82.553379163603,0.1320357823075022,0.5525220053432316,76571.35,8.070000000006985,0.1345000000001164,0.0,127.73167650009528,0.9892474220073691,0.973714744023259,0.9390999156666232,76575.99,12.710000000006405,0.0706111111111466,0.0,72.23542372224729,0.903223372873523,0.8635112369096284,0.8092170575988162,76577.63,14.35000000000582,0.0478333333333527,0.0,52.4498031666777,0.827421566333898,0.78697482262387,0.7373979943491533,76545.79,-17.49000000000524,-0.0291500000000087,17.49000000000524,-14.420768550013404,0.3976038381405024,0.4133846524935048,0.430663903369396,76597.08,33.80000000000291,0.0375555555555587,0.0,43.522145111108095,0.7832860626061852,0.7455283586158589,0.7009726608693243,76643.39,80.11000000000058,0.0445055555555558,0.0,49.55917226110557,0.813802888595729,0.7740047797819876,0.7258564405814129,76591.99,28.710000000006403,0.0079750000000017,0.0,17.827380074995723,0.6258449986913232,0.60662950380255,0.5854865343398751,-0.0727673755095372,True,0.5413836877547686,0.6367296472811451,0.505,heartbeat:199,two_side_all_heartbeats,0.5353459341024764,0.505,0.5913145259196407,0.07276737550953727,0.06069186820495298,2026-05-01 03:00:00+00:00,train,2,53.0,49.0,47.0,0.53
KXBTC15M-26APR302315-15,heartbeat:267,live_heartbeat_two_side,heartbeat:267:no,2026-05-01 03:01:02.653000+00:00,2026-05-01 03:01:00+00:00,no,yes,True,False,1,54.0,53.0,53.5,0.535,46.5,7.0,1.0,76551.03,76566.01,837.347,,267,False,False,synced,bid>=98,latest_quote,-1.0,14.979999999995924,0.5176772491078215,4.009910729010122,,,85.71782493244734,0.1747594506953645,0.5693656742062898,61.54992075023451,0.2433796797364495,0.5961443580749185,57.12093590720846,0.262250605002876,0.603435879474665,72.04006740359627,0.2079398387576761,0.5823620289245293,76566.47,15.440000000002328,0.2573333333333721,0.0,230.4572946666951,0.9999095274541026,0.9999726465261514,0.9993105113069288,76510.2,-40.83000000000175,-0.226833333333343,40.83000000000175,-174.95821116667886,0.0022377693875801,0.0010958564261234,0.0075781280644741,76528.23,-22.80000000000291,-0.0760000000000097,22.80000000000291,-48.65837200001219,0.2146029274097485,0.1971491480562188,0.249699765704397,76573.68,22.64999999999418,0.0377499999999903,0.0,46.5898492499878,0.7754583228183914,0.7926456109311285,0.7410938468520554,76545.8,-5.2299999999959255,-0.0058111111111065,5.2299999999959255,10.11408354444416,0.5652616635784853,0.570271092826011,0.5558261461700292,76578.0,26.970000000001164,0.0149833333333339,0.0,27.52624921666313,0.672641265201863,0.6850594560891817,0.6488050628583654,76654.17,103.13999999999942,0.0286499999999998,0.0,38.96999154999579,0.7366803456684287,0.752455313873194,0.705728580174705,-0.0611443580749184,True,0.5655721790374593,0.448582428494889,0.535,heartbeat:267,two_side_all_heartbeats,0.5692179397373325,0.2146029274097485,0.48926389290442523,0.06114435807491847,0.068435879474665,2026-05-01 03:15:00+00:00,train,2,56.0,-54.0,-56.0,0.56
KXBTC15M-26APR302330-30,heartbeat:333,live_heartbeat_two_side,heartbeat:333:yes,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76700.0,76668.47,835.94,,333,False,False,synced,bid>=98,latest_quote,1.0,31.52999999999884,1.0905269867305551,8.447185716394392,,,71.38339782976314,0.4416993440854741,0.6706466078035703,89.63902050459014,0.3517441380161475,0.6374849220785017,77.73963249103222,0.4055846289681911,0.6574760876131754,72.56384117322405,0.4345139327000423,0.6680423602429598,76665.0,35.0,0.5833333333333334,0.0,519.1616666666655,0.9999999965159738,0.999999999987906,0.9999999999995804,76667.29,32.7100000000064,0.1817222222222577,0.0,183.43887444447304,0.979642351909273,0.9908540825721732,0.99426371592025,76666.2,33.80000000000291,0.1126666666666763,0.0,125.71257333334027,0.9196067627310188,0.9470713928577592,0.9584024630386818,76530.92,169.08000000000175,0.2818000000000029,0.0,267.0978920000013,0.9985573723681856,0.9997045974072372,0.9998837791573398,76551.03,148.97000000000116,0.1655222222222235,0.0,169.89664644444437,0.970976480354746,0.9855723328352092,0.990392678073622,76545.8,154.1999999999971,0.085666666666665,0.0,103.14219333333082,0.8750597020808456,0.907706719965264,0.9223996456330577,76660.69,39.30999999999767,0.0109194444444437,0.0,40.65800038888719,0.6749325510404157,0.6995136458829047,0.7123648427243248,0.0775150779214982,True,0.6762424610392508,0.7573638949365068,0.6374849220785017,heartbeat:333,two_side_all_heartbeats,0.6862380438065877,0.6374849220785017,0.7326668291697542,0.07751507792149825,0.05752391238682453,2026-05-01 03:30:00+00:00,train,2,74.0,28.0,26.0,0.74
KXBTC15M-26APR302345-45,heartbeat:459,live_heartbeat_two_side,heartbeat:459:no,2026-05-01 03:39:05.762000+00:00,2026-05-01 03:39:00+00:00,no,no,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,77171.23,77219.61,354.238,,459,False,False,synced,bid>=98,latest_quote,-1.0,48.38000000000466,2.5705040379021025,19.91103866030753,,,63.30054140432811,0.764290461450883,0.7776529158129283,106.50088067108364,0.4542685440266077,0.6751822231851826,199.542113749098,0.2424550842477148,0.5957862218829935,145.4075615413803,0.3327199733435912,0.6303271643958855,77209.82,38.59000000001106,0.643166666666851,0.0,276.21407366673657,0.995250296995666,0.91685743230073,0.9712562218593698,77226.23,55.0,0.3055555555555556,0.0,156.61938888889355,0.9292993137845982,0.7837421120656172,0.8592835925690331,77196.01,24.77999999999884,0.0825999999999961,0.0,77.64005880000329,0.7670018016008743,0.651395618308136,0.7033112017999812,77264.72,93.49000000000524,0.1558166666666754,0.0,103.57618436667444,0.8346085871541535,0.6981437903824094,0.7618655509933041,77346.0,174.77000000000407,0.1941888888888934,0.0,117.16908362222848,0.8643709903692447,0.721461861749521,0.789820257626697,76640.0,-531.2299999999959,-0.2951277777777755,531.2299999999959,-56.16547374443898,0.2989679961875816,0.3891742852749082,0.3496511719780699,76603.9,-567.3300000000017,-0.1575916666666671,567.3300000000017,-7.444956816662184,0.4721345890653393,0.4851188350791853,0.4795828302371696,0.0198177768148173,True,0.6850911115925913,0.7123946749286856,0.6751822231851826,heartbeat:459,two_side_all_heartbeats,0.6453931109414968,0.6751822231851826,0.7034550272757296,0.019817776814817334,0.09921377811700649,2026-05-01 03:45:00+00:00,train,2,72.0,30.0,28.0,0.72
KXBTC15M-26MAY010000-00,heartbeat:493,live_heartbeat_two_side,heartbeat:493:no,2026-05-01 03:46:06.291000+00:00,2026-05-01 03:46:00+00:00,no,no,True,True,1,56.0,55.0,55.5,0.555,44.5,11.0,1.0,77113.68,77133.88,833.709,,493,False,False,synced,bid>=98,latest_quote,-1.0,20.20000000001164,0.6995908562466399,5.419007470804446,,,106.18141233788424,0.1902404531570214,0.5754396435645648,110.90161281000144,0.1821434286498486,0.5722649161984189,312.90204162387323,0.0645569453467908,0.5257366171012678,226.6788065666006,0.0891128743175056,0.5355038970617265,77126.0,12.320000000006983,0.2053333333334497,0.0,191.3882480001087,0.9578036300667636,0.7296171379916403,0.8007532123852259,77119.53,5.850000000005821,0.0325000000000323,0.0,47.2955425000386,0.6651151030200675,0.5600718071973242,0.5826375567491331,77081.5,-32.179999999993015,-0.1072666666666433,32.179999999993015,-69.22918539996894,0.2662351012658279,0.4124493765492965,0.3800282784293219,77226.23,112.55000000000292,0.1875833333333381,0.0,176.58991325001568,0.9443426346754282,0.7137459844471201,0.7820193976784464,77215.1,101.4200000000128,0.1126888888889031,0.0,114.14974086669017,0.8483279078839884,0.6423733169025734,0.6927199072091699,76700.0,-413.679999999993,-0.2298222222222183,413.679999999993,-171.40485506665178,0.0611056971952933,0.2919177832938046,0.2247774178616819,76545.8,-567.8799999999901,-0.1577444444444417,567.8799999999901,-111.3129630333194,0.1577594137799308,0.3610162180830755,0.3116918992353972,-0.0172649161984188,True,0.5636324580992095,0.46450000582141565,0.555,heartbeat:493,two_side_all_heartbeats,0.5403683085506339,0.2662351012658279,0.5024264951126913,0.017264916198418856,0.029263382898732204,2026-05-01 04:00:00+00:00,train,2,58.0,44.0,42.0,0.58
KXBTC15M-26MAY010015-15,heartbeat:569,live_heartbeat_two_side,heartbeat:569:no,2026-05-01 04:03:07.654000+00:00,2026-05-01 04:03:00+00:00,no,yes,True,False,1,58.0,57.0,57.5,0.575,42.5,15.0,1.0,77078.23,77099.09,712.346,,569,False,False,synced,bid>=98,latest_quote,-1.0,20.860000000000586,0.781571670335863,6.054028126156622,,,100.47208241525522,0.2076198631355658,0.582237103114483,86.3556893161175,0.2415590699952557,0.5954390798399185,93.3598674531182,0.2234364783184347,0.5884020918696692,212.26039379307332,0.0982755172890916,0.5391432407841085,77126.31,48.08000000000175,0.8013333333333624,0.0,591.6865946666879,0.999999999996352,0.999999999883388,0.9973445922672468,77091.85,13.620000000009895,0.0756666666667216,0.0,74.76084733337308,0.8066813111235124,0.7883709017454075,0.6376606956938788,77082.21,3.980000000010477,0.0132666666667015,0.0,30.310456933358797,0.6372041316586957,0.6272817768054582,0.5567753225402612,77130.52,52.29000000000815,0.0871500000000135,0.0,82.94095390001026,0.8315874491813374,0.8128373245455706,0.652009338743199,77141.88,63.65000000000873,0.0707222222222319,0.0,71.23869211111861,0.79529858502476,0.777284633376122,0.6314210289711584,77173.71,95.48000000001048,0.0530444444444502,0.0,58.64599782222695,0.7514695323313068,0.7350541652827157,0.6088383697670691,76545.99,-532.2399999999907,-0.1478444444444418,532.2399999999907,-84.45639862221981,0.1640356315040326,0.1828299754440298,0.3453554438757354,-0.0204390798399185,True,0.5852195399199592,0.6025477371662048,0.575,heartbeat:569,two_side_all_heartbeats,0.5817010459348346,0.575,0.5935725502837147,0.02043907983991855,0.01340209186966923,2026-05-01 04:15:00+00:00,train,2,60.0,-58.0,-60.0,0.6
KXBTC15M-26MAY010030-30,heartbeat:636,live_heartbeat_two_side,heartbeat:636:no,2026-05-01 04:15:38.601000+00:00,2026-05-01 04:15:00+00:00,no,no,True,True,1,60.0,59.0,59.5,0.595,40.5,19.0,1.0,77072.91,77131.71,861.399,,636,False,False,synced,bid>=98,latest_quote,-1.0,58.80000000000291,2.003434482516773,15.518536772010274,,,132.89398067566475,0.4424579631150309,0.6709210784700388,101.43966753469476,0.5796548966398369,0.7189263175258769,90.74183754634508,0.6479921675596625,0.7415049919059827,233.9228966919862,0.2513648763396888,0.5992339896533879,77134.51,61.59999999999127,1.0266666666665212,0.0,943.1696399998776,1.0,1.0,0.9999723441431312,77104.59,31.67999999999301,0.1759999999999612,0.0,210.40622399996948,0.9809696598957676,0.9897952800851352,0.8157983561994755,77091.96,19.05000000000291,0.0635000000000097,0.0,113.49883650001128,0.8684043765989885,0.894494153314821,0.6862319206260458,77080.79,7.879999999990105,0.0131333333333168,0.0,70.1130401999887,0.7552736941320284,0.7801396617333962,0.6178073514633764,77091.85,18.94000000000233,0.021044444444447,0.0,76.92766340000514,0.7758818889793027,0.8017152928535778,0.6288688891352812,77126.0,53.08999999999651,0.0294944444444425,0.0,84.20648495000124,0.7967628248290478,0.8232906693113871,0.6405672296122055,76665.0,-407.9100000000035,-0.1133083333333343,407.9100000000035,-38.80368502499792,0.3510342538086868,0.334461251300637,0.4341247601017459,-0.1239263175258769,True,0.6569631587629384,0.7274435647082885,0.595,heartbeat:636,two_side_all_heartbeats,0.6682524959529914,0.595,0.6868587705775607,0.1239263175258769,0.14650499190598276,2026-05-01 04:30:00+00:00,train,2,62.0,40.0,38.0,0.62
KXBTC15M-26MAY010045-45,heartbeat:720,live_heartbeat_two_side,heartbeat:720:yes,2026-05-01 04:35:10.431000+00:00,2026-05-01 04:35:00+00:00,yes,yes,True,True,1,79.0,78.0,78.5,0.785,21.5,57.0,1.0,77051.75,76977.88,589.569,,720,False,False,synced,bid>=98,latest_quote,1.0,73.86999999999534,3.042291184947702,23.56548618723216,,,51.90281906588165,1.423236759187014,0.9226662335825336,112.43920145772334,0.6569772734269208,0.744402235159532,96.67397398714888,0.7641146520966964,0.7776005392674652,90.4304261247954,0.8168710816208429,0.7929989472696313,77023.43,28.320000000006985,0.4720000000001164,0.0,352.14656800006395,0.9991315584147824,0.9998650615428712,0.9999507212564444,77026.81,24.94000000000233,0.1385555555555684,0.0,155.5580603333363,0.916742050437404,0.9462027260774274,0.9573015931035423,76992.02,59.729999999995925,0.1990999999999864,0.0,191.25318789998727,0.9555235847477268,0.9760543507368836,0.9827816503629618,77130.3,-78.55000000000291,-0.1309166666666715,78.55000000000291,-3.314408250007503,0.4882419467110715,0.4863251861691293,0.4853814510934795,77155.0,-103.25,-0.1147222222222222,103.25,6.233334166662019,0.522104989636197,0.5257051454125623,0.5274771761149097,77080.79,-29.0399999999936,-0.0161333333333297,29.0399999999936,64.35828679999744,0.7164687328769631,0.7472065725949716,0.7616711289969607,77195.82,-144.07000000000698,-0.0400194444444463,144.07000000000698,50.27577615832753,0.6726120843454748,0.6984873526514799,0.7108811891187463,0.040597764840468,True,0.764701117579766,0.828308606635753,0.744402235159532,heartbeat:720,two_side_all_heartbeats,0.7813002696337326,0.744402235159532,0.806925387497405,0.040597764840468065,0.007399460732534835,2026-05-01 04:45:00+00:00,train,2,81.0,21.0,19.0,0.81
