model,threshold_cents,train_markets,train_trades,train_coverage,train_cost_dollars,train_pnl_dollars,train_roi,train_wins,train_losses,train_avg_edge_cents,train_avg_ask_cents,validation_markets,validation_trades,validation_coverage,validation_cost_dollars,validation_pnl_dollars,validation_roi,validation_wins,validation_losses,validation_avg_edge_cents,validation_avg_ask_cents,holdout_markets,holdout_trades,holdout_coverage,holdout_cost_dollars,holdout_pnl_dollars,holdout_roi,holdout_wins,holdout_losses,holdout_avg_edge_cents,holdout_avg_ask_cents,all_markets,all_trades,all_coverage,all_cost_dollars,all_pnl_dollars,all_roi,all_wins,all_losses,all_avg_edge_cents,all_avg_ask_cents,train_eligible_80,all_splits_eligible_80,all_splits_positive_pnl,min_split_pnl_dollars,mean_split_roi
v28_live_surface,-17.5,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-17.25,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-17.0,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-16.75,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-16.5,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-16.25,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-16.0,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-15.75,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-15.5,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-15.25,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-15.0,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-14.75,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-14.5,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
v28_live_surface,-14.25,198,198,1.0,181.68,-7.68,-0.04227212681638044,87,111,6.84723852329063,45.878787878787875,66,66,1.0,60.72,7.28,0.11989459815546773,34,32,7.141227725895118,46.0,66,66,1.0,57.92,-11.92,-0.2058011049723757,23,43,6.8052038226626745,43.878787878787875,330,330,1.0,300.32,-12.32,-0.041022908897176344,144,186,6.897629423685937,45.5030303030303,True,True,False,-11.92,-0.042726211211096134
