model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc0-570,hold,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,12.76,345.24,0.036959796083883674,5.34,7.42,0.021492295214922953,3.08,3.08,179,38,217,0,79.54838709677419,3.6050755737509186,0.8315346267052511,430.22190783410144,74,71,0.9594594594594594,-3.74,111.74,-0.0334705566493646,1.83,-5.57,-0.04984786110613926,-6.99,-6.99,54,17,71,0,78.69014084507042,4.272316183340658,0.8296245702841109,487.04973239436623,75,66,0.88,-4.94,108.94,-0.04534606205250597,1.51,-6.45,-0.05920690288232055,-7.7700000000000005,-7.7700000000000005,52,14,66,0,82.53030303030303,2.1020769177716527,0.846323799480747,420.3907878787879,372,354,0.9516129032258065,4.08,565.92,0.00720949957591179,8.68,-4.6,-0.008128357364998586,-11.68,-11.68,285,69,354,0,79.9322033898305,3.458680579361766,0.8339088396919229,439.78665819209033,0.88,-4.94,-6.45,-7.7700000000000005,False,False,False,True,-7.7700000000000005,False,1,5,-619.0,4,-1000.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc0-570,prob50,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,13.56,345.24,0.03927702467848453,7.47,6.090000000000001,0.01763990267639903,1.7500000000000009,0.570000000000001,179,38,158,59,79.54838709677419,3.6050755737509186,0.8315346267052511,430.22190783410144,74,71,0.9594594594594594,4.26,111.74,0.03812421693216395,2.58,1.6799999999999997,0.015034902452120993,0.2599999999999998,-0.1600000000000002,54,17,50,21,78.69014084507042,4.272316183340658,0.8296245702841109,487.04973239436623,75,66,0.88,-0.24,108.94,-0.0022030475491096016,2.21,-2.45,-0.02248944373049385,-3.7700000000000005,-4.15,52,14,47,19,82.53030303030303,2.1020769177716527,0.846323799480747,420.3907878787879,372,354,0.9516129032258065,17.58,565.92,0.03106446140797286,12.26,5.3199999999999985,0.00940062199604184,-1.7600000000000016,-3.7400000000000015,285,69,255,99,79.9322033898305,3.458680579361766,0.8339088396919229,439.78665819209033,0.88,-0.24,-2.45,-4.15,False,False,False,True,-3.7700000000000005,False,3,5,-433.0,5,-437.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc0-570,prob52,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.32,345.24,0.04437492758660642,7.6,7.720000000000001,0.022361255937898276,3.380000000000001,2.160000000000001,179,38,156,61,79.54838709677419,3.6050755737509186,0.8315346267052511,430.22190783410144,74,71,0.9594594594594594,4.62,111.74,0.04134598174333274,2.58,2.04,0.01825666726328978,0.6200000000000001,0.20000000000000012,54,17,50,21,78.69014084507042,4.272316183340658,0.8296245702841109,487.04973239436623,75,66,0.88,1.58,108.94,0.014503396364971544,2.24,-0.6600000000000001,-0.006058380760051406,-1.9800000000000002,-2.3600000000000003,52,14,47,19,82.53030303030303,2.1020769177716527,0.846323799480747,420.3907878787879,372,354,0.9516129032258065,21.52,565.92,0.038026576194515126,12.42,9.1,0.016080011309018944,2.0199999999999996,-4.440892098500626e-16,285,69,253,101,79.9322033898305,3.458680579361766,0.8339088396919229,439.78665819209033,0.88,1.58,-0.6600000000000001,-2.3600000000000003,True,False,False,True,-1.9800000000000002,False,4,5,-231.0,5,-379.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc0-570,prob54,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.84,345.24,0.045881126173096975,7.64,8.2,0.023751593094658786,3.8599999999999994,2.619999999999999,179,38,155,62,79.54838709677419,3.6050755737509186,0.8315346267052511,430.22190783410144,74,71,0.9594594594594594,4.78,111.74,0.04277787721496331,2.58,2.2,0.019688562734920353,0.7800000000000002,0.36000000000000026,54,17,50,21,78.69014084507042,4.272316183340658,0.8296245702841109,487.04973239436623,75,66,0.88,2.62,108.94,0.024049935744446485,2.24,0.3799999999999999,0.003488158619423535,-0.9400000000000002,-1.3200000000000003,52,14,47,19,82.53030303030303,2.1020769177716527,0.846323799480747,420.3907878787879,372,354,0.9516129032258065,23.24,565.92,0.04106587503534068,12.46,10.779999999999998,0.019048628781453206,3.6999999999999975,1.6599999999999975,285,69,252,102,79.9322033898305,3.458680579361766,0.8339088396919229,439.78665819209033,0.88,2.62,0.3799999999999999,-1.3200000000000003,True,True,False,True,-0.9400000000000002,False,4,5,-123.0,5,-359.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc0-570,prob56,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.4,345.24,0.0446066504460665,7.73,7.67,0.02221642915073572,3.33,2.05,179,38,153,64,79.54838709677419,3.6050755737509186,0.8315346267052511,430.22190783410144,74,71,0.9594594594594594,2.2,111.74,0.019688562734920353,2.77,-0.5699999999999998,-0.005101127617683908,-1.9899999999999998,-2.4899999999999998,54,17,46,25,78.69014084507042,4.272316183340658,0.8296245702841109,487.04973239436623,75,66,0.88,3.44,108.94,0.031577014870570956,2.28,1.1600000000000001,0.010648063154029743,-0.15999999999999992,-0.5599999999999999,52,14,46,20,82.53030303030303,2.1020769177716527,0.846323799480747,420.3907878787879,372,354,0.9516129032258065,21.04,565.92,0.03717839977381962,12.78,8.26,0.01459570257280181,1.1799999999999997,-1.0000000000000004,285,69,245,109,79.9322033898305,3.458680579361766,0.8339088396919229,439.78665819209033,0.88,2.2,-0.5699999999999998,-2.4899999999999998,True,False,False,True,-1.9899999999999998,False,4,5,-249.0,5,-514.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc60-570,hold,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,12.4,331.6,0.03739445114595898,5.3,7.1000000000000005,0.02141133896260555,2.9000000000000004,2.9000000000000004,172,38,210,0,78.95238095238095,3.683380343046512,0.8263576129542747,443.17089999999996,74,69,0.9324324324324325,-3.74,107.74,-0.034713198440690554,1.83,-5.57,-0.05169853350658994,-6.95,-6.95,52,17,69,0,78.07246376811594,4.397628806898232,0.8247009257501418,499.9663188405797,75,64,0.8533333333333334,-5.06,105.06,-0.04816295450218922,1.5,-6.56,-0.062440510184656385,-7.84,-7.84,50,14,64,0,82.078125,2.168635789492013,0.8424676078949201,432.14282812500005,372,343,0.9220430107526881,3.6,544.4,0.0066127847171197655,8.63,-5.030000000000001,-0.00923952975753123,-11.89,-11.89,274,69,343,0,79.35860058309038,3.5444284263651147,0.8290302900945551,452.53850145772594,0.8533333333333334,-5.06,-6.56,-7.84,False,False,False,True,-7.84,False,1,5,-616.0,4,-1003.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc60-570,prob50,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,13.2,331.6,0.039806996381182146,7.43,5.77,0.017400482509047042,1.5699999999999994,0.38999999999999946,172,38,151,59,78.95238095238095,3.683380343046512,0.8263576129542747,443.17089999999996,74,69,0.9324324324324325,4.26,107.74,0.0395396324484871,2.58,1.6799999999999997,0.015593094486727304,0.2999999999999998,-0.12000000000000016,52,17,48,21,78.07246376811594,4.397628806898232,0.8247009257501418,499.9663188405797,75,64,0.8533333333333334,-0.36,105.06,-0.0034266133637921186,2.2,-2.56,-0.024367028364743956,-3.84,-4.22,50,14,45,19,82.078125,2.168635789492013,0.8424676078949201,432.14282812500005,372,343,0.9220430107526881,17.1,544.4,0.03141072740631889,12.21,4.890000000000001,0.008982365907421016,-1.9699999999999998,-3.9499999999999997,274,69,244,99,79.35860058309038,3.5444284263651147,0.8290302900945551,452.53850145772594,0.8533333333333334,-0.36,-2.56,-4.22,False,False,False,True,-3.84,False,3,5,-430.0,5,-418.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc60-570,prob52,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,14.96,331.6,0.0451145958986731,7.56,7.400000000000001,0.022316043425814235,3.200000000000001,1.980000000000001,172,38,149,61,78.95238095238095,3.683380343046512,0.8263576129542747,443.17089999999996,74,69,0.9324324324324325,4.62,107.74,0.04288100983850009,2.58,2.04,0.018934471876740303,0.6600000000000001,0.24000000000000016,52,17,48,21,78.07246376811594,4.397628806898232,0.8247009257501418,499.9663188405797,75,64,0.8533333333333334,1.46,105.06,0.013896820864268036,2.23,-0.77,-0.007329145250333143,-2.05,-2.4299999999999997,50,14,45,19,82.078125,2.168635789492013,0.8424676078949201,432.14282812500005,372,343,0.9220430107526881,21.04,544.4,0.038648052902277734,12.37,8.67,0.015925789860396767,1.8099999999999996,-0.2100000000000004,274,69,242,101,79.35860058309038,3.5444284263651147,0.8290302900945551,452.53850145772594,0.8533333333333334,1.46,-0.77,-2.4299999999999997,True,False,False,True,-2.05,False,4,5,-228.0,4,-382.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc60-570,prob54,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.48,331.6,0.046682750301568154,7.6,7.880000000000001,0.023763570566948132,3.6800000000000006,2.4400000000000004,172,38,148,62,78.95238095238095,3.683380343046512,0.8263576129542747,443.17089999999996,74,69,0.9324324324324325,4.78,107.74,0.04436606645628365,2.58,2.2,0.020419528494523855,0.8200000000000003,0.4000000000000003,52,17,48,21,78.07246376811594,4.397628806898232,0.8247009257501418,499.9663188405797,75,64,0.8533333333333334,2.5,105.06,0.02379592613744527,2.23,0.27,0.002569960022844089,-1.01,-1.3900000000000001,50,14,45,19,82.078125,2.168635789492013,0.8424676078949201,432.14282812500005,372,343,0.9220430107526881,22.76,544.4,0.04180749448934607,12.41,10.350000000000001,0.01901175606171933,3.490000000000001,1.450000000000001,274,69,241,102,79.35860058309038,3.5444284263651147,0.8290302900945551,452.53850145772594,0.8533333333333334,2.5,0.27,-1.3900000000000001,True,True,False,True,-1.01,False,4,5,-120.0,4,-362.0
v45_latent_disagree_book_else_blend90,edge-2_ask100_p0.64_stc60-570,prob56,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.04,331.6,0.045355850422195414,7.69,7.349999999999999,0.02216525934861278,3.1499999999999986,1.8699999999999986,172,38,146,64,78.95238095238095,3.683380343046512,0.8263576129542747,443.17089999999996,74,69,0.9324324324324325,2.2,107.74,0.020419528494523855,2.77,-0.5699999999999998,-0.005290514200853906,-1.9499999999999997,-2.4499999999999997,52,17,44,25,78.07246376811594,4.397628806898232,0.8247009257501418,499.9663188405797,75,64,0.8533333333333334,3.32,105.06,0.031600989910527316,2.27,1.0499999999999998,0.009994288977727011,-0.2300000000000002,-0.6300000000000002,50,14,44,20,82.078125,2.168635789492013,0.8424676078949201,432.14282812500005,372,343,0.9220430107526881,20.56,544.4,0.037766348273328434,12.73,7.829999999999998,0.014382806759735486,0.969999999999998,-1.2100000000000022,274,69,234,109,79.35860058309038,3.5444284263651147,0.8290302900945551,452.53850145772594,0.8533333333333334,2.2,-0.5699999999999998,-2.4499999999999997,True,False,False,True,-1.9499999999999997,False,4,5,-246.0,4,-517.0
