policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,spot,margin_per_rv_sigma_15m,signed_velocity_dps_1m,signed_velocity_dps_3m,brownian_p_rv_15m,raw_p_yes,book_mid_p_yes,raw_selected_side,raw_selected_edge_cents,latent_hole_active,latent_disagreement_book_switch,recross_hazard_active,recross_side_margin_sigma15,recross_side_velocity_3m,thin_edge_certainty_active,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050415-15,heartbeat:61641,2026-05-05 08:07:07.076000+00:00,2026-05-05 08:15:00+00:00,61641,yes,65.0,1.233290727034472,0.6623329072703447,0.6623329072703447,80879.07,-0.4995275788737892,-0.04716666666669577,-0.06655555555561377,0.308703881463152,0.6623329072703447,0.645,yes,1.233290727034472,False,False,False,0.4995275788737892,0.06655555555561377,False,2026-05-05 08:12:17.534707+00:00,,,,0.0,yes,2026-05-05 09:57:25.702754+00:00,True,70.0,4.0,4.0,66.0,64.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050430-30,heartbeat:61700,2026-05-05 08:20:23.385000+00:00,2026-05-05 08:30:00+00:00,61700,no,63.0,2.1364283215816613,0.6513642832158166,0.34863571678418337,80852.52,0.5090355288343236,0.10066666666655995,-0.0028333333333850734,0.6946363396347847,0.34863571678418337,0.375,no,2.1364283215816613,False,False,False,0.5090355288343236,-0.0028333333333850734,False,2026-05-05 08:27:26.284909+00:00,,,,0.0,no,2026-05-05 09:57:25.702754+00:00,True,74.0,4.0,4.0,70.0,68.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050445-45,heartbeat:61786,2026-05-05 08:40:25.268000+00:00,2026-05-05 08:45:00+00:00,61786,no,90.0,1.442201805775582,0.9144220180577558,0.0855779819422442,80780.97,1.232450329416523,0.01733333333322662,0.27244444444440885,0.8911095448908066,0.08557798194224414,0.105,no,1.442201805775582,False,False,False,1.232450329416523,0.27244444444440885,False,2026-05-05 08:42:57.091934+00:00,,,,0.0,no,2026-05-05 09:57:25.702754+00:00,True,20.0,2.0,2.0,18.0,16.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050500-00,heartbeat:61832,2026-05-05 08:50:26.336000+00:00,2026-05-05 09:00:00+00:00,61832,yes,88.0,0.8420294456064141,0.8884202944560641,0.8884202944560641,80809.95,-1.221310479070442,-0.15016666666657935,-0.1001666666666602,0.11098424363435228,0.8884202944560641,0.87,yes,0.8420294456064141,False,False,False,1.221310479070442,0.1001666666666602,False,2026-05-05 09:00:45.554160+00:00,,,,0.0,yes,2026-05-05 09:57:25.702754+00:00,True,24.0,2.0,2.0,22.0,20.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050515-15,heartbeat:61900,2026-05-05 09:05:57.704000+00:00,2026-05-05 09:15:00+00:00,61900,no,90.0,1.3892961051482047,0.9138929610514821,0.0861070389485179,80700.0,1.1635257323696555,0.22116666666673457,0.13472222222222222,0.8776918679776169,0.08610703894851784,0.105,no,1.3892961051482047,False,False,False,1.1635257323696555,0.13472222222222222,False,2026-05-05 09:08:37.661439+00:00,,,,0.0,no,2026-05-05 09:57:25.702754+00:00,True,20.0,2.0,2.0,18.0,16.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050530-30,heartbeat:61963,2026-05-05 09:20:13.787000+00:00,2026-05-05 09:30:00+00:00,61963,no,66.0,5.705549347751244,0.7170554934775124,0.2829445065224876,80634.36,0.9765896674269575,0.050499999999980595,0.1373333333333398,0.8356138317569026,0.2829445065224876,0.345,no,5.705549347751244,False,False,False,0.9765896674269575,0.1373333333333398,False,2026-05-05 09:28:47.031191+00:00,,,,0.0,no,2026-05-05 09:57:25.702754+00:00,True,68.0,4.0,4.0,64.0,62.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050545-45,heartbeat:62065,2026-05-05 09:41:00.467000+00:00,2026-05-05 09:45:00+00:00,62065,no,98.0,0.055155235698251204,0.9805515523569825,0.019448447643017452,80561.63,2.14858639323057,0.35366666666668606,0.21333333333330098,0.9841663993752778,0.0194484476430174,0.02,no,0.055155235698251204,False,False,False,2.14858639323057,0.21333333333330098,False,2026-05-05 09:48:03.387137+00:00,,,,0.0,no,2026-05-05 09:57:25.702754+00:00,True,4.0,1.0,1.0,3.0,1.0,settled
v55_bookanchor_m10_v20_g05_book_plus2_edge0_p65_stc0_600_prob52,KXBTC15M-26MAY050600-00,heartbeat:62122,2026-05-05 09:53:46.687000+00:00,2026-05-05 10:00:00+00:00,62122,no,67.0,4.395718722278971,0.7139571872227897,0.28604281277721033,80554.19,0.8104455393859696,0.035166666666676366,0.0992777777777519,0.7911579231859299,0.28604281277721033,0.335,no,4.395718722278971,False,False,False,0.8104455393859696,0.0992777777777519,False,2026-05-05 09:57:25.093917+00:00,2026-05-05 09:55:01.767000+00:00,43.0,0.414044617177068,4.0,,,,-48.0,4.0,8.0,-56.0,-58.0,exited
