market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,selector,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR302230-30,heartbeat:19,live_heartbeat_two_side,heartbeat:19:yes,2026-05-01 02:17:13.847000+00:00,2026-05-01 02:17:00+00:00,yes,no,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76692.19,76652.0,766.153,,19,True,False,synced,bid>=98,latest_quote,1.0,40.19000000000233,1.4519787250295495,11.246978842173847,,,85.90181827433608,0.4678597124877092,0.6800575422186286,95.58891680873482,0.4204462331173712,0.6629202501745215,92.90280127955567,0.4326026712484782,0.6673482757565203,73.91878664535561,0.543704812050341,0.7066776897367746,76660.69,31.5,0.525,0.0,442.4203250000024,0.999998157173292,0.999999042459955,0.9999999989195234,76675.97,16.220000000001164,0.0901111111111175,0.0,109.2288981111184,0.8734172047342783,0.8801492254103644,0.9302543354388108,76666.59,25.60000000000582,0.0853333333333527,0.0,105.56838933335052,0.8652901460334934,0.8720910959383869,0.9233781359169072,76640.06,52.13000000000466,0.0868833333333411,0.0,106.7559264833416,0.8679650510362977,0.8747455493534293,0.9256632308024992,76639.27,52.919999999998254,0.058799999999998,0.0,85.23979640000084,0.8137319830353651,0.8205638148973528,0.8755765538422122,76600.93,91.26000000000931,0.0507000000000051,0.0,79.03395710000629,0.7958278708417323,0.8025366057504563,0.8575101914357344,76586.55,105.63999999999942,0.0293444444444442,0.0,62.67233414444665,0.7439735116700699,0.7500353905828219,0.8017403393118707,0.0320797498254784,True,0.6789601250872608,0.7410701320693382,0.6629202501745215,heartbeat:19,two_side_all_heartbeats,0.6811741378782601,0.6629202501745215,0.7194341042590551,0.032079749825478454,0.027651724243479614,2026-05-01 02:30:00+00:00,0.674159499650957,0.325840500349043,0.6653034484869595,0.33469655151304045,0.5866446205264508,0.41335537947354917,0.325840500349043,0.674159499650957,0.0,0.561796325226878,0.5675527584834763,0.613148162613439,0.6301771772167883,0.5264601250872607,0.5104202501745215,0.6825181542939593,0.4123695149523923,0.6027101250872607,0.6396260750523564,0.565794175122165,0.6227801667830143,0.5104202501745215,0.5825188521571502,0.5422575375312861,0.6065047474370022,0.6257142102786099,0.5104202501745215,0.5964692022342404,0.5104202501745215,train,fallback_score_min60,2,72.0,-70.0,-72.0,0.72
KXBTC15M-26APR302245-45,heartbeat:125,live_heartbeat_two_side,heartbeat:125:no,2026-05-01 02:32:45.230000+00:00,2026-05-01 02:32:00+00:00,no,no,True,True,1,80.0,79.0,79.5,0.795,20.5,59.0,1.0,76560.37,76603.27,734.77,,125,False,False,synced,bid>=98,latest_quote,-1.0,42.90000000000873,1.5826379815983602,12.25906109161154,,,45.00488695500445,0.9532298135289138,0.8297631780557599,59.740284654199264,0.7181083961740581,0.763654773210825,80.11377223888465,0.5354884534969688,0.7038439301031517,75.25865324125688,0.5700341177044994,0.7156727209842779,76578.0,17.630000000004657,0.2938333333334109,0.0,258.7999183333991,0.9999926147644996,0.999381924788453,0.9997078572518416,76600.29,39.919999999998254,0.221777777777768,0.0,205.85565777777936,0.9997153597852364,0.9949083394430892,0.9968839111430086,76597.17,36.80000000000291,0.1226666666666763,0.0,133.03178666668254,0.9870208650802306,0.9515966436842984,0.9614412036762936,76580.96,20.59000000001106,0.0343166666666851,0.0,68.11485716668894,0.8728949664447354,0.8024004317188417,0.8172876353777879,76692.19,131.82000000000698,0.1464666666666744,0.0,150.51931266668112,0.9941249420177984,0.9698654241248325,0.9772513072608708,76639.27,78.90000000000873,0.0438333333333381,0.0,75.10741833334563,0.8956652434325303,0.8257517167647948,0.8408580088293806,76519.81,-40.55999999999767,-0.011266666666666,40.55999999999767,34.621591333342536,0.718885912148837,0.6671857278365388,0.6772543401252444,0.031345226789175,True,0.7793273866054125,0.8485585460970185,0.763654773210825,heartbeat:125,two_side_all_heartbeats,0.7494219650515759,0.763654773210825,0.8240006049792936,0.03134522678917506,0.09115606989684832,2026-05-01 02:45:00+00:00,0.47269045357835004,0.52730954642165,0.5923121397936966,0.40768786020630343,0.5686545580314442,0.43134544196855584,0.40768786020630343,0.5923121397936966,0.0,0.6927512051740724,0.6149971091340972,0.7336256025870364,0.7528276890950593,0.6768273866054125,0.6611547732108249,0.7972315596214588,0.626011632929673,0.7280773866054124,0.7548464319632475,0.7013083412475773,0.7399365154738833,0.6611547732108249,0.7113575226174791,0.6827785297610748,0.7333895351356786,0.7437464825205157,0.6611547732108249,0.7291931664161418,0.6611547732108249,train,hazard_primary_0.65,2,82.0,20.0,18.0,0.82
KXBTC15M-26APR302300-00,heartbeat:233,live_heartbeat_two_side,heartbeat:233:no,2026-05-01 02:54:02.084000+00:00,2026-05-01 02:54:00+00:00,no,no,True,True,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,76546.69,76574.18,357.916,,233,False,False,synced,bid>=98,latest_quote,-1.0,27.489999999990687,1.4530621266531936,11.255370835065102,,,39.63129668352915,0.6936437184861425,0.7560471652024621,31.34666729265348,0.8769672304664217,0.8097477813256592,31.73543785612001,0.8662240654949521,0.8068163507350605,50.30681418512377,0.5464468471175771,0.707620592408098,76573.1,26.41000000000349,0.4401666666667249,0.0,185.0326926666782,0.9999999982129394,0.9999999972365172,0.9998825037517844,76573.68,26.989999999990687,0.1499444444443927,0.0,81.15751577774995,0.9951876885127614,0.9947258196873684,0.946655000872969,76568.22,21.52999999999884,0.0717666666666627,0.0,53.17643826665597,0.955094777850762,0.9530933788179932,0.8547538935383535,76571.35,24.66000000000349,0.0411000000000058,0.0,42.20034759999277,0.9108885166254836,0.90820044686774,0.7992259137134667,76603.9,57.20999999999185,0.0635666666666576,0.0,50.24152706665412,0.94550738137891,0.9433048114695186,0.8410305178176014,76596.57,49.88000000000466,0.0277111111111136,0.0,37.40825004443606,0.8836382357752213,0.8807517746097192,0.771441367992685,76698.95,152.25999999999476,0.0422944444444429,0.0,42.62785837776794,0.913066819204856,0.910400562366784,0.8016020685825918,-0.0747477813256591,True,0.7723738906628296,0.8332808530588071,0.735,heartbeat:233,two_side_all_heartbeats,0.7709081753675302,0.735,0.8014432899678501,0.07474778132565918,0.07181635073506054,2026-05-01 03:00:00+00:00,0.38050443734868167,0.6194955626513183,0.38636729852987894,0.6136327014701211,0.5847588151838039,0.4152411848161961,0.6136327014701211,0.38636729852987894,0.0,0.7526721157233569,0.7488612559555786,0.7305860578616784,0.7525955356467546,0.6398738906628296,0.6772477813256592,0.7898928462329821,0.7150050404363946,0.7061238906628295,0.7176743343976977,0.6945734469279614,0.7406651875504394,0.6772477813256592,0.7135446748264076,0.6864241621023758,0.7069561711889715,0.7445756878130353,0.6772477813256592,0.7335703137793206,0.6772477813256592,train,hazard_primary_0.65,2,76.0,26.0,24.0,0.76
KXBTC15M-26APR302315-15,heartbeat:271,live_heartbeat_two_side,heartbeat:271:no,2026-05-01 03:02:02.767000+00:00,2026-05-01 03:02:00+00:00,no,yes,True,False,1,65.0,64.0,64.5,0.645,35.5,29.0,1.0,76529.7,76566.01,777.233,,271,False,False,synced,bid>=98,latest_quote,-1.0,36.30999999999767,1.302418729691834,10.088492099770187,,,85.15584294298807,0.4263946987678491,0.6650898681930365,61.71835634999707,0.5883176764152338,0.7218404584749326,55.57131827784002,0.6533946129990744,0.7432490445864635,69.71915644919528,0.520803776885295,0.6987482641194982,76551.03,21.330000000001743,0.3555000000000291,0.0,312.6163315000203,0.9999997960230008,0.9999999907513144,0.9999963360912176,76542.98,13.279999999998836,0.0737777777777713,0.0,93.6525235555482,0.9354193653703712,0.9540314907624992,0.9104097435800944,76509.68,-20.020000000004075,-0.0667333333333469,20.020000000004075,-15.557348866679549,0.4004934615378496,0.3897568400383235,0.4117120665452137,76588.12,58.419999999998254,0.0973666666666637,0.0,111.98658643332874,0.9651978999694932,0.9780574593771704,0.9458908057405938,76555.49,25.79000000000815,0.0286555555555646,0.0,58.58204341111582,0.8287363454385559,0.854099211708538,0.7996179846935415,76560.37,30.669999999998254,0.0170388888888879,0.0,49.55318672777469,0.788981476764979,0.8137242916677705,0.7613817321393004,76639.27,109.57000000000698,0.030436111111113,0.0,59.96594994722141,0.834376800983637,0.8597241747519188,0.8051350296206788,-0.0768404584749326,True,0.6834202292374663,0.5891113066709274,0.645,heartbeat:271,two_side_all_heartbeats,0.6941245222932317,0.4004934615378496,0.6191508298500498,0.0768404584749326,0.09824904458646344,2026-05-01 03:15:00+00:00,0.5563190830501348,0.4436809169498652,0.5135019108270731,0.4864980891729269,0.6025034717610036,0.3974965282389964,0.4436809169498652,0.5563190830501348,0.0,0.6383925960174124,0.6662237579624024,0.6239462980087063,0.5994956441624911,0.5059202292374663,0.5443404584749325,0.5990189215450363,0.4837302631036502,0.5946702292374663,0.6148021375424797,0.5745383209324527,0.637060305649955,0.5443404584749325,0.6007196911812481,0.5643790767125413,0.5956760955347434,0.6401903174598919,0.5443404584749325,0.5716796900099844,0.5443404584749325,train,fallback_score_min60,2,67.0,-65.0,-67.0,0.67
KXBTC15M-26APR302330-30,heartbeat:333,live_heartbeat_two_side,heartbeat:333:yes,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76700.0,76668.47,835.94,,333,False,False,synced,bid>=98,latest_quote,1.0,31.52999999999884,1.0905269867305551,8.447185716394392,,,71.38339782976314,0.4416993440854741,0.6706466078035703,89.63902050459014,0.3517441380161475,0.6374849220785017,77.73963249103222,0.4055846289681911,0.6574760876131754,72.56384117322405,0.4345139327000423,0.6680423602429598,76665.0,35.0,0.5833333333333334,0.0,519.1616666666655,0.9999999965159738,0.999999999987906,0.9999999999995804,76667.29,32.7100000000064,0.1817222222222577,0.0,183.43887444447304,0.979642351909273,0.9908540825721732,0.99426371592025,76666.2,33.80000000000291,0.1126666666666763,0.0,125.71257333334027,0.9196067627310188,0.9470713928577592,0.9584024630386818,76530.92,169.08000000000175,0.2818000000000029,0.0,267.0978920000013,0.9985573723681856,0.9997045974072372,0.9998837791573398,76551.03,148.97000000000116,0.1655222222222235,0.0,169.89664644444437,0.970976480354746,0.9855723328352092,0.990392678073622,76545.8,154.1999999999971,0.085666666666665,0.0,103.14219333333082,0.8750597020808456,0.907706719965264,0.9223996456330577,76660.69,39.30999999999767,0.0109194444444437,0.0,40.65800038888719,0.6749325510404157,0.6995136458829047,0.7123648427243248,0.0775150779214982,True,0.6762424610392508,0.7573638949365068,0.6374849220785017,heartbeat:333,two_side_all_heartbeats,0.6862380438065877,0.6374849220785017,0.7326668291697542,0.07751507792149825,0.05752391238682453,2026-05-01 03:30:00+00:00,0.7250301558429968,0.2749698441570032,0.6850478247736491,0.3149521752263509,0.6639152795140806,0.3360847204859194,0.2749698441570032,0.7250301558429968,0.0,0.5287303987020521,0.554718913897128,0.607615199351026,0.6280758756241279,0.5337424610392507,0.4949849220785016,0.6886638135854547,0.3669305204301051,0.6049924610392508,0.6489954766235504,0.5609894454549511,0.6158232813856678,0.4949849220785016,0.5702645671875223,0.5247058529893768,0.6106074187120131,0.6196506420180232,0.4949849220785016,0.5918243678319781,0.4949849220785016,train,fallback_score_min60,2,74.0,28.0,26.0,0.74
KXBTC15M-26APR302345-45,heartbeat:459,live_heartbeat_two_side,heartbeat:459:no,2026-05-01 03:39:05.762000+00:00,2026-05-01 03:39:00+00:00,no,no,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,77171.23,77219.61,354.238,,459,False,False,synced,bid>=98,latest_quote,-1.0,48.38000000000466,2.5705040379021025,19.91103866030753,,,63.30054140432811,0.764290461450883,0.7776529158129283,106.50088067108364,0.4542685440266077,0.6751822231851826,199.542113749098,0.2424550842477148,0.5957862218829935,145.4075615413803,0.3327199733435912,0.6303271643958855,77209.82,38.59000000001106,0.643166666666851,0.0,276.21407366673657,0.995250296995666,0.91685743230073,0.9712562218593698,77226.23,55.0,0.3055555555555556,0.0,156.61938888889355,0.9292993137845982,0.7837421120656172,0.8592835925690331,77196.01,24.77999999999884,0.0825999999999961,0.0,77.64005880000329,0.7670018016008743,0.651395618308136,0.7033112017999812,77264.72,93.49000000000524,0.1558166666666754,0.0,103.57618436667444,0.8346085871541535,0.6981437903824094,0.7618655509933041,77346.0,174.77000000000407,0.1941888888888934,0.0,117.16908362222848,0.8643709903692447,0.721461861749521,0.789820257626697,76640.0,-531.2299999999959,-0.2951277777777755,531.2299999999959,-56.16547374443898,0.2989679961875816,0.3891742852749082,0.3496511719780699,76603.9,-567.3300000000017,-0.1575916666666671,567.3300000000017,-7.444956816662184,0.4721345890653393,0.4851188350791853,0.4795828302371696,0.0198177768148173,True,0.6850911115925913,0.7123946749286856,0.6751822231851826,heartbeat:459,two_side_all_heartbeats,0.6453931109414968,0.6751822231851826,0.7034550272757296,0.019817776814817334,0.09921377811700649,2026-05-01 03:45:00+00:00,0.6496355536296348,0.35036444637036523,0.8084275562340131,0.19157244376598692,0.7393456712082289,0.2606543287917711,0.19157244376598692,0.8084275562340131,0.0,0.5777368901407374,0.4745220884478915,0.6211184450703687,0.6283186252304561,0.5325911115925912,0.5226822231851826,0.6689914719127661,0.4270646265304527,0.6088411115925914,0.6433046669555547,0.5743775562296278,0.6309548154567884,0.5226822231851826,0.5924615222154532,0.5539682289741181,0.61234869312337,0.6338346675615318,0.5226822231851826,0.5958368475489744,0.5226822231851826,train,fallback_score_min60,2,72.0,30.0,28.0,0.72
KXBTC15M-26MAY010000-00,heartbeat:517,live_heartbeat_two_side,heartbeat:517:yes,2026-05-01 03:52:06.802000+00:00,2026-05-01 03:52:00+00:00,yes,no,True,False,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,77158.64,77133.88,473.198,,517,False,False,synced,bid>=98,latest_quote,1.0,24.75999999999476,1.138227804121871,8.816674659108488,,,50.158049463244645,0.4936396104904091,0.6892196393580241,82.60839796903119,0.2997273958669064,0.6178074500440068,140.219917032464,0.1765797650148536,0.5700807552582148,171.52136089589595,0.1443551979220985,0.557390003469754,77146.12,12.520000000004076,0.2086666666667345,0.0,123.50064933336024,0.9325445076147804,0.8107772047792956,0.7642469599388406,77152.01,6.630000000004657,0.0368333333333592,0.0,42.18945966667367,0.6952251555848554,0.6182472466543901,0.5971480631484107,77141.75,16.889999999999418,0.056299999999998,0.0,51.40104739999384,0.7331031824077338,0.6430317877489325,0.6177883180893631,77131.59,27.05000000000291,0.0450833333333381,0.0,46.09334316666372,0.7115689510689323,0.6288170114271946,0.6059321829680573,77230.09,-71.44999999999709,-0.0793888888888856,71.44999999999709,-12.806663444448148,0.4383993891808335,0.4636141183469902,0.4702405791474885,77224.44,-65.80000000000291,-0.0365555555555571,65.80000000000291,7.46198422221622,0.5359873538092065,0.5212202130572386,0.5173503883724031,76588.12,570.5200000000041,0.1584777777777789,0.0,99.75136748888418,0.8863842004206955,0.7615794114376937,0.7195712128754995,0.1171925499559931,True,0.6764037250220034,0.6953035441505802,0.6178074500440068,heartbeat:517,two_side_all_heartbeats,0.6525403776291074,0.6178074500440068,0.6994628714947488,0.11719254995599315,0.1649192447417852,2026-05-01 04:00:00+00:00,0.7643850999119866,0.23561490008801345,0.8598384894835704,0.14016151051642955,0.885219993060492,0.11478000693950796,0.14016151051642955,0.8598384894835704,1.0,0.5031496850572088,0.4411049818356792,0.6058248425286045,0.6056351607693778,0.5439037250220033,0.48530745004400677,0.5995243615035502,0.10892521832878681,0.6101537250220034,0.660092235013202,0.5602152150308047,0.6127049666960045,0.48530745004400677,0.5617047724510819,0.5107045782061592,0.6179076724628837,0.6178742661041658,0.48530745004400677,0.5424159057737785,0.48530745004400677,train,fallback_score_min60,2,76.0,-74.0,-76.0,0.76
KXBTC15M-26MAY010015-15,heartbeat:565,live_heartbeat_two_side,heartbeat:565:yes,2026-05-01 04:02:07.599000+00:00,2026-05-01 04:02:00+00:00,yes,yes,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,77126.31,77099.09,772.401,,565,False,False,synced,bid>=98,latest_quote,1.0,27.220000000001164,0.9794149010257412,7.586515201400162,,,56.68596991280211,0.4801893668199144,0.6844536264879296,78.7589609912344,0.3456114663959401,0.6351826362509144,92.42507274856968,0.2945088295905334,0.6158154412969286,219.5495640492141,0.1239811161451431,0.5493348865873934,77094.42,31.889999999999414,0.5314999999999903,0.0,437.7511314999937,0.9999999863645862,0.9999989116222854,0.9769163312160428,77090.55,35.75999999999476,0.1986666666666375,0.0,180.67033199997869,0.9891037570723908,0.9746952539372868,0.7947214486743199,77049.14,77.16999999999825,0.2572333333333275,0.0,225.90728389999663,0.9979368246937976,0.9927417301075812,0.8482502980485438,77158.64,-32.330000000001746,-0.0538833333333362,32.330000000001746,-14.399540550001085,0.4274655065518724,0.438096553987135,0.4738534224833626,77141.75,-15.440000000002328,-0.0171555555555581,15.440000000002328,13.9690317333325,0.5703888951015346,0.5600669601460467,0.525365933382975,77179.09,-52.77999999999884,-0.0293222222222215,52.77999999999884,4.571486233334998,0.5231432152441085,0.5197242559908914,0.5083062217601781,76529.7,596.6100000000006,0.1657250000000001,0.0,155.22615572500126,0.975632429227538,0.953470832856492,0.7602232909923733,-0.0201826362509144,True,0.6250913181254572,0.7493731536482372,0.615,heartbeat:565,two_side_all_heartbeats,0.6154077206484643,0.615,0.6976421558140339,0.020182636250914432,0.0008154412969285652,2026-05-01 04:15:00+00:00,0.7296347274981712,0.27036527250182885,0.7683691174061429,0.2316308825938571,0.9013302268252132,0.09866977317478676,0.2316308825938571,0.7683691174061429,0.3088000000000466,0.5257374271261887,0.5005600736860071,0.5511187135630944,0.5894123960324741,0.4325913181254572,0.44268263625091436,0.6477386830642144,0.3083989549711993,0.5288413181254572,0.5633047908752743,0.49437784537564006,0.5642884241672762,0.44268263625091436,0.5210973555639593,0.47790628696064236,0.5297270491229061,0.5656695210163317,0.44268263625091436,0.5452106596575644,0.44268263625091436,train,fallback_score_min60,2,64.0,38.0,36.0,0.64
KXBTC15M-26MAY010030-30,heartbeat:650,live_heartbeat_two_side,heartbeat:650:yes,2026-05-01 04:19:08.946000+00:00,2026-05-01 04:19:00+00:00,yes,no,True,False,1,73.0,72.0,72.5,0.725,27.5,45.0,1.0,77169.14,77131.71,651.054,,650,False,False,synced,bid>=98,latest_quote,1.0,37.429999999993015,1.466936522400781,11.362841442403298,,,130.61835186451526,0.2865600389661747,0.6127753920285073,80.44527117437082,0.4652852734980636,0.6791364103310543,83.07173808691591,0.4505744175092487,0.6738518459372786,198.7045539879961,0.1883701165814961,0.5747067380718578,77138.87,30.270000000004075,0.5045000000000679,0.0,365.8867430000372,0.99999729555306,0.9999946977900463,0.9672156360035776,77101.06,68.08000000000175,0.3782222222222319,0.0,283.673090666666,0.9997892847666368,0.999680851741463,0.9232982776951492,77134.51,34.63000000000466,0.1154333333333488,0.0,112.58333340000311,0.9191687793632454,0.9123317311422502,0.7145024521753188,77105.8,63.33999999999651,0.1055666666666608,0.0,106.15960059998922,0.9065240464190512,0.8993623816355663,0.7034186562455718,77060.14,109.0,0.1211111111111111,0.0,116.27987333332636,0.9258346829850348,0.9192062772789816,0.7207899404635089,77152.01,17.130000000004657,0.0095166666666692,0.0,43.6258638999947,0.7061957560988665,0.7002636386686782,0.5868897292430997,76845.42,323.7200000000012,0.0899222222222225,0.0,95.97422246665988,0.8835726498602192,0.8760197585369585,0.6854519941200827,0.0458635896689456,True,0.7020682051655271,0.7744350632314333,0.6791364103310543,heartbeat:650,two_side_all_heartbeats,0.6994259229686393,0.6791364103310543,0.7500746789719653,0.04586358966894566,0.05114815406272133,2026-05-01 04:30:00+00:00,0.6417271793378914,0.35827282066210864,0.6522963081254425,0.3477036918745575,0.8505865238562844,0.14941347614371558,0.3477036918745575,0.6522963081254425,0.0,0.5828773334303705,0.5760073997184623,0.6401886667151854,0.6596055446515099,0.5645682051655272,0.5416364103310543,0.7134019610381762,0.45018969859843316,0.6333182051655271,0.6699909230993162,0.5966454872317379,0.6485909402207028,0.5416364103310543,0.6096351515788182,0.5706793629369334,0.638339970587883,0.6521975588134842,0.5416364103310543,0.6275191856846152,0.5416364103310543,train,fallback_score_min60,2,75.0,-73.0,-75.0,0.75
KXBTC15M-26MAY010045-45,heartbeat:733,live_heartbeat_two_side,heartbeat:733:yes,2026-05-01 04:38:25.858000+00:00,2026-05-01 04:38:00+00:00,yes,yes,True,True,1,80.0,78.0,79.0,0.79,21.0,58.0,2.0,77036.0,76977.88,394.142,,733,False,False,synced,bid>=98,latest_quote,1.0,58.11999999999534,2.927515799710227,22.676439876073594,,,40.67185847913635,1.4289978912522392,0.9234975802337304,80.07700835831128,0.725801340378908,0.7660197174448967,78.15988633395943,0.7436039473197515,0.771441942759937,72.92550729865911,0.7969776577894851,0.7872679964093565,77041.08,-5.080000000001746,-0.0846666666666957,5.080000000001746,24.749310666650537,0.6213654314623477,0.6242453198235064,0.6328374940696417,77051.75,-15.75,-0.0875,15.75,23.63257499999535,0.6160500782813313,0.6188119180856658,0.6270554346538127,77011.63,24.369999999995343,0.0812333333333178,0.0,90.13746846665587,0.8698399372503718,0.8755950032124625,0.891774646588864,77091.04,-55.0399999999936,-0.0917333333333226,55.0399999999936,21.964040533332884,0.6080677621313422,0.6106502585272376,0.6183631379386324,77135.07,-99.07000000000698,-0.1100777777777855,99.07000000000698,14.733724511103397,0.5729910926372903,0.5747605803052587,0.5800564961523929,77120.23,-84.22999999999593,-0.0467944444444421,84.22999999999593,39.67634407777401,0.6898683975806967,0.6941437600739166,0.7068022314702658,77209.82,-173.82000000000698,-0.0482833333333352,173.82000000000698,39.08951043332792,0.6872778422202324,0.691505554986522,0.7040275412383175,0.0239802825551033,True,0.7780098587224484,0.8086198848984228,0.7660197174448967,heartbeat:733,two_side_all_heartbeats,0.7807209713799685,0.7660197174448967,0.7987739026835434,0.023980282555103316,0.018558057240062986,2026-05-01 04:45:00+00:00,0.46796056511020656,0.5320394348897934,0.4571161144801259,0.5428838855198741,0.42546400718128696,0.574535992818713,0.5320394348897934,0.46796056511020656,1.0,0.6958256326783657,0.7028745255879181,0.7324128163391829,0.7403968100642201,0.6730098587224485,0.6610197174448968,0.7229778461725228,0.4190234286148306,0.7255098587224484,0.751305915233469,0.6997138022114278,0.7390131449632645,0.6610197174448968,0.7110072094617118,0.683001273960159,0.7303469516420186,0.7426101600648386,0.6610197174448968,0.6919987818087099,0.6610197174448968,train,hazard_primary_0.65,2,82.0,20.0,18.0,0.82
