abs_d_sigma,actionable,ask_cents,ask_prob,book_age_ms,btc_age_ms,edge_cents,eff_edge_prob,eligible_depth,estimated_entry_fee_cents,feature_count,fv,gross_cents,h6_recross_hazard_high,hold_gross_cents,is_first_market_observation,is_first_market_side_observation,lambda_plus,market,market_observation_index,market_side_observation_index,net_gross_cents_after_entry_fee,outlier_count,outlier_share,p_eff,p_side,policy,raw_edge_cents,reason,recross_hazard_score,result,seconds_to_close,side,side_won,sigma_t_dollars,source,spectral_tag,status,top_eigenvalue,top_over_mp_edge,ts_wall,v28_minus_ask_prob,window_n
0.93606,True,81.0,0.81,578.0,31.0,2.23752,0.057374999999999954,65.0,3.0,11,v28_raw,36,True,38,True,True,,KXBTC15M-26MAY051300-00,0,0,33.0,,,0.867375,0.867375,v28_raw_p50_edge0,4.23752,approved_entry,0.36657919808610573,yes,594.247,yes,True,115.035336,approved_entry,insufficient_history,finalized,,,2026-05-05T16:50:05.755107+00:00,0.057374999999999954,0
0.992205,True,82.0,0.82,469.0,0.0,2.439055,0.05939100000000008,7.02,2.0,11,v28_raw,0,True,36,True,True,,KXBTC15M-26MAY051330-30,0,0,-2.0,,,0.879391,0.879391,v28_raw_p50_edge0,4.439055,approved_entry,0.30242891547156237,yes,529.068,yes,True,106.389306,approved_entry,insufficient_history,finalized,,,2026-05-05T17:21:10.942716+00:00,0.05939100000000008,0
0.052746,True,47.0,0.47,0.0,62.0,-0.869392,0.031306000000000056,47.8,4.0,11,v28_raw,-94,True,-94,True,True,,KXBTC15M-26MAY051430-30,0,0,-98.0,,,0.501306,0.501306,v28_raw_p50_edge0,1.130608,p_below_floor,1.3031899471925121,no,884.333,yes,False,138.588871,rejected_actionable,insufficient_history,finalized,,,2026-05-05T18:15:15.666697+00:00,0.031306000000000056,0
0.023317,True,48.0,0.48,16.0,500.0,-1.604739,0.023953000000000002,500.0,4.0,11,v28_raw,104,True,104,False,False,2.1865937744230046,KXBTC15M-26MAY051445-45,68,34,100.0,2,0.7714365396526546,0.503953,0.503953,v28_raw_p50_edge0,0.395261,p_below_floor,0.30718965989622143,yes,203.991,yes,True,66.046345,rejected_actionable,spectral_dominant_factor,finalized,16.647881254197667,7.613614128481952,2026-05-05T18:41:36.010357+00:00,0.023953000000000002,48
0.063259,True,49.0,0.49,16.0,16.0,-1.645531,0.023545000000000038,15.0,4.0,11,v28_raw,-98,True,-98,False,False,2.1865937744230046,KXBTC15M-26MAY051500-00,6,3,-102.0,3,0.869977910571171,0.513545,0.513545,v28_raw_p50_edge0,0.354469,p_below_floor,1.1555471961132957,no,823.692,yes,False,128.676593,rejected_actionable,spectral_dominant_factor,finalized,14.238031016742672,6.511511732671875,2026-05-05T18:46:16.309051+00:00,0.023545000000000038,48
0.041455,True,49.0,0.49,16.0,391.0,-1.993135,0.020069000000000004,187.63,4.0,11,v28_raw,-98,True,-98,False,False,2.1865937744230046,KXBTC15M-26MAY051515-15,2,1,-102.0,2,0.6161442156798352,0.510069,0.510069,v28_raw_p50_edge0,0.006865,p_below_floor,1.1981218065840598,no,849.075,yes,False,128.573918,rejected_actionable,spectral_dominant_factor,finalized,4.207144096882372,1.9240629631777615,2026-05-05T19:00:50.925574+00:00,0.020069000000000004,48
0.026256,True,49.0,0.49,0.0,218.0,-1.583175,0.024167999999999967,90.74,4.0,11,v28_raw,102,True,102,True,True,2.1865937744230046,KXBTC15M-26MAY051530-30,0,0,98.0,3,0.8719723282763545,0.514168,0.514168,v28_raw_p50_edge0,0.416825,p_below_floor,1.1960717542039223,yes,869.475,yes,True,124.925983,rejected_actionable,spectral_dominant_factor,finalized,6.005786464658936,2.7466402469950024,2026-05-05T19:15:30.525585+00:00,0.024167999999999967,48
0.127716,True,53.0,0.53,1000.0,578.0,-3.067648,0.009323999999999999,124.49,4.0,11,v28_raw,94,True,94,False,False,2.1865937744230046,KXBTC15M-26MAY051545-45,6,3,90.0,3,0.9018972564809438,0.539324,0.539324,v28_raw_p50_edge0,-1.067648,p_below_floor,1.0112455315534306,yes,823.623,yes,True,120.110228,rejected_actionable,spectral_dominant_factor,finalized,12.299031309034522,5.624744501195689,2026-05-05T19:31:16.377250+00:00,0.009323999999999999,48
0.077742,True,46.0,0.46,812.0,16.0,4.795259,0.087953,737.99,4.0,11,v28_raw,108,True,108,False,True,2.1865937744230046,KXBTC15M-26MAY051600-00,1,0,104.0,3,0.7691082778746435,0.547953,0.547953,v28_raw_p50_edge0,6.795259,p_below_floor,1.1138511194482563,no,856.344,no,True,123.420469,rejected_actionable,spectral_dominant_factor,finalized,4.839242308087483,2.2131419034907185,2026-05-05T19:45:43.657471+00:00,0.087953,48
0.870095,True,83.0,0.83,969.0,985.0,-0.782148,0.02217900000000006,1147.21,2.0,11,v28_raw,34,True,34,False,False,2.1865937744230046,KXBTC15M-26MAY051615-15,22,12,32.0,4,0.964618645352644,0.852179,0.852179,v28_raw_p50_edge0,1.217852,edge_below_floor,0.3890707598566101,yes,661.575,yes,True,108.327261,rejected_actionable,spectral_dominant_factor,finalized,21.471211424475623,9.819478897099401,2026-05-05T20:03:58.425282+00:00,0.02217900000000006,48
