dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard50_sec600_else_logit_thresh55_edge15,7,20,16,0.8,14,2,0.875,270.0,0.23893805309734514,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,8,20,16,0.8,12,4,0.75,74.0,0.06571936056838366,69.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,9,20,15,0.75,14,1,0.9333333333333333,341.0,0.32200188857412654,67.0,True,False
current,hazard50_sec600_else_logit_thresh55_edge15,10,20,15,0.75,9,6,0.6,-152.0,-0.1444866920152091,69.0,False,False
current,hazard50_sec600_else_logit_thresh55_edge15,11,20,19,0.95,12,7,0.631578947368421,-154.0,-0.1137370753323486,68.0,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,12,20,18,0.9,14,4,0.7777777777777778,130.0,0.10236220472440945,69.5,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,13,20,18,0.9,14,4,0.7777777777777778,86.0,0.0654490106544901,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-131.0,-0.14070891514500536,69.0,False,True
current,hazard50_sec600_else_score_min60,0,20,15,0.75,12,3,0.8,190.0,0.18811881188118812,64.0,True,False
current,hazard50_sec600_else_score_min60,1,20,17,0.85,14,3,0.8235294117647058,217.0,0.1834319526627219,67.0,True,True
current,hazard50_sec600_else_score_min60,2,20,18,0.9,14,4,0.7777777777777778,132.0,0.10410094637223975,67.5,True,True
current,hazard50_sec600_else_score_min60,3,20,16,0.8,14,2,0.875,264.0,0.2323943661971831,67.5,True,True
current,hazard50_sec600_else_score_min60,4,20,15,0.75,9,6,0.6,-109.0,-0.10802775024777007,63.0,False,False
current,hazard50_sec600_else_score_min60,5,20,17,0.85,12,5,0.7058823529411765,20.0,0.01694915254237288,67.0,True,True
current,hazard50_sec600_else_score_min60,6,20,14,0.7,11,3,0.7857142857142857,80.0,0.0784313725490196,69.0,True,False
current,hazard50_sec600_else_score_min60,7,20,15,0.75,13,2,0.8666666666666667,225.0,0.20930232558139536,69.0,True,False
current,hazard50_sec600_else_score_min60,8,20,15,0.75,12,3,0.8,139.0,0.13100848256361922,70.0,True,False
current,hazard50_sec600_else_score_min60,9,20,15,0.75,14,1,0.9333333333333333,328.0,0.30597014925373134,68.0,True,False
current,hazard50_sec600_else_score_min60,10,20,16,0.8,10,6,0.625,-131.0,-0.11582670203359859,68.5,False,True
current,hazard50_sec600_else_score_min60,11,20,18,0.9,12,6,0.6666666666666666,-82.0,-0.06396255850234009,68.5,False,True
current,hazard50_sec600_else_score_min60,12,20,18,0.9,14,4,0.7777777777777778,106.0,0.08191653786707882,71.0,True,True
current,hazard50_sec600_else_score_min60,13,20,18,0.9,14,4,0.7777777777777778,60.0,0.04477611940298507,69.0,True,True
current,hazard50_sec600_else_score_min60,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-137.0,-0.14621131270010673,69.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-56.0,-0.04129793510324484,64.5,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,137.0,0.10051357300073367,66.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,75.0,0.05660377358490566,68.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,179.0,0.12596762843068263,68.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,67.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,5,20,20,1.0,13,7,0.65,-81.0,-0.05865314989138305,66.5,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,6,20,20,1.0,15,5,0.75,53.0,0.036627505183137524,68.5,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,7,20,19,0.95,16,3,0.8421052631578947,238.0,0.17474302496328928,68.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,199.0,0.14204139900071378,68.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,473.0,0.35644310474755087,67.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,69.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,11,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,68.5,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,196.0,0.1396011396011396,69.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,119.0,0.08035111411208642,68.5,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,14,15,15,1.0,9,6,0.6,-167.0,-0.15651358950328023,69.0,False,True
current,hazard55_sec60_else_score_min60,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,False,True
current,hazard55_sec60_else_score_min60,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,hazard55_sec60_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,hazard55_sec60_else_score_min60,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,hazard55_sec60_else_score_min60,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,hazard55_sec60_else_score_min60,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,hazard55_sec60_else_score_min60,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,hazard55_sec60_else_score_min60,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,hazard55_sec60_else_score_min60,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,hazard55_sec60_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,hazard55_sec60_else_score_min60,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,hazard55_sec60_else_score_min60,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,hazard55_sec60_else_score_min60,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,hazard55_sec60_else_score_min60,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,hazard55_sec60_else_score_min60,14,15,15,1.0,9,6,0.6,-173.0,-0.16123019571295433,69.0,False,True
current,hazard55_sec600_else_logit_thresh55_edge15,0,20,16,0.8,12,4,0.75,143.0,0.13528855250709557,63.5,True,True
