dataset,candidate,label,filter_count,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive,all_median_edge,all_median_signed_move_30m
current,book_margin__signed_move_15m_le_150,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=150,1,321,313,218,95,0.6964856230031949,0.9750778816199377,0.6434214630322169,64.0,65.90415335463258,68.0,0,0,810.969,622.0,20628.0,21250.0,1172.0,550.0,0.05681597828194687,0.02588235294117647,1.7571884984025559,1.7133956386292835,0.6789137380191693,0.01757188498402562,192,189,134,55,0.708994708994709,0.984375,0.6405873132772524,64.0,65.23809523809524,68.0,0,0,811.213,376.0,12330.0,12706.0,1070.0,694.0,0.0867802108678021,0.054619864630883044,3.671957671957672,3.6145833333333335,0.6722751322751322,0.03671957671957671,64,63,44,19,0.6984126984126984,0.984375,0.5763962768644041,64.0,66.41269841269842,69.0,0,0,810.969,126.0,4184.0,4310.0,216.0,90.0,0.05162523900573614,0.02088167053364269,1.4285714285714286,1.40625,0.6841269841269841,0.014285714285714235,65,61,40,21,0.6557377049180327,0.9384615384615385,0.5304974914056818,65.0,67.44262295081967,69.0,0,0,807.319,120.0,4114.0,4234.0,-114.0,-234.0,-0.02771025765678172,-0.05526688710439301,-3.8360655737704916,-3.6,0.6940983606557376,-0.03836065573770486,True,False,False,-2.5,1.3699999999953434
current,book_margin__signed_move_15m_le_200,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=200,1,321,317,224,93,0.7066246056782335,0.9875389408099688,0.6542686743689814,64.0,65.86435331230284,68.0,0,0,811.856,630.0,20879.0,21509.0,1521.0,891.0,0.07284831649025336,0.04142451996838533,2.810725552050473,2.7757009345794392,0.6785173501577287,0.028107255520504748,192,189,135,54,0.7142857142857143,0.984375,0.6461141246543445,63.0,65.11640211640211,68.0,0,0,811.385,377.0,12307.0,12684.0,1193.0,816.0,0.09693670268952628,0.06433301797540208,4.317460317460317,4.25,0.6711111111111111,0.0431746031746032,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,64,44,20,0.6875,0.9846153846153847,0.5660766429725185,65.0,67.40625,69.0,0,0,811.9994999999999,125.0,4314.0,4439.0,86.0,-39.0,0.019935095039406582,-0.00878576255913494,-0.609375,-0.6,0.69359375,-0.006093750000000009,True,False,False,-2.5,2.610000000000582
current,book_margin__signed_move_max_15_30m_le_100,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; signed_move_max_15_30m<=100,1,321,283,194,89,0.6855123674911661,0.881619937694704,0.6292380896073073,64.0,66.06713780918727,68.0,0,0,776.512,565.0,18697.0,19262.0,703.0,138.0,0.03759961491148313,0.007164365071124494,0.4876325088339223,0.42990654205607476,0.6806360424028268,0.0048763250883392395,192,172,118,54,0.686046511627907,0.8958333333333334,0.6132661068256837,64.0,65.56976744186046,68.0,0,0,776.761,343.0,11278.0,11621.0,522.0,179.0,0.046284802269906014,0.015403149470785646,1.0406976744186047,0.9322916666666666,0.675639534883721,0.010406976744186003,64,59,41,18,0.6949152542372882,0.921875,0.5685367346805482,65.0,66.86440677966101,69.0,0,0,810.969,118.0,3945.0,4063.0,155.0,37.0,0.03929024081115336,0.009106571498892444,0.6271186440677966,0.578125,0.6886440677966104,0.006271186440677812,65,52,35,17,0.6730769230769231,0.8,0.5375618936197394,65.0,66.8076923076923,69.25,0,0,770.452,104.0,3474.0,3578.0,26.0,-78.0,0.007484168105929764,-0.021799888205701508,-1.5,-1.2,0.6880769230769233,-0.015000000000000124,True,False,False,-2.5,-17.419999999998254
current,book_margin__signed_move_max_15_30m_le_150,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; signed_move_max_15_30m<=150,1,321,296,204,92,0.6891891891891891,0.9221183800623053,0.6343228054684452,64.0,66.00337837837837,68.0,0,0,795.47,589.0,19537.0,20126.0,863.0,274.0,0.04417259558785894,0.013614230348802544,0.9256756756756757,0.8535825545171339,0.6799324324324324,0.009256756756756745,192,178,123,55,0.6910112359550562,0.9270833333333334,0.6196942008429891,64.0,65.34831460674157,68.0,0,0,798.094,354.0,11632.0,11986.0,668.0,314.0,0.05742778541953233,0.026197230101785415,1.7640449438202248,1.6354166666666667,0.6733707865168539,0.01764044943820231,64,62,43,19,0.6935483870967742,0.96875,0.5703278379461328,64.0,66.48387096774194,69.0,0,0,810.8530000000001,124.0,4122.0,4246.0,178.0,54.0,0.043182920912178555,0.012717852096090438,0.8709677419354839,0.84375,0.6848387096774193,0.008709677419354911,65,56,38,18,0.6785714285714286,0.8615384615384616,0.5482263990973854,65.0,67.55357142857143,72.0,0,0,772.352,111.0,3783.0,3894.0,17.0,-94.0,0.004493787998942638,-0.024139702105803802,-1.6785714285714286,-1.4461538461538461,0.6953571428571428,-0.01678571428571418,True,False,False,-2.5,-9.790000000000873
current,book_margin__signed_move_max_15_30m_le_200,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; signed_move_max_15_30m<=200,1,321,310,217,93,0.7,0.9657320872274143,0.646793535548482,64.0,66.08064516129032,68.0,0,0,799.781,616.0,20485.0,21101.0,1215.0,599.0,0.05931169148157188,0.02838728022368608,1.9322580645161291,1.8660436137071652,0.6806774193548387,0.019322580645161236,192,187,132,55,0.7058823529411765,0.9739583333333334,0.6369599153327257,64.0,65.41176470588235,68.0,0,0,800.029,372.0,12232.0,12604.0,968.0,596.0,0.07913669064748201,0.047286575690257064,3.1871657754010694,3.1041666666666665,0.6740106951871658,0.031871657754010685,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,59,40,19,0.6779661016949152,0.9076923076923077,0.5510500442652536,65.0,67.71186440677967,70.5,0,0,773.036,116.0,3995.0,4111.0,5.0,-111.0,0.0012515644555694619,-0.02700072974945269,-1.88135593220339,-1.7076923076923076,0.6967796610169491,-0.01881355932203388,True,False,False,-2.5,-4.664999999993597
current,book_margin__long_minus_short_move_30_5m_le_75,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; long_minus_short_move_30_5m<=75,1,321,292,206,86,0.7054794520547946,0.9096573208722741,0.6508008620999549,64.0,66.47602739726027,68.0,0,0,780.8595,578.0,19411.0,19989.0,1189.0,611.0,0.06125392818504971,0.030566811746460552,2.0924657534246576,1.9034267912772587,0.6845547945205479,0.02092465753424666,192,177,127,50,0.7175141242937854,0.921875,0.6471147396142003,64.0,65.82485875706215,68.0,0,0,776.916,351.0,11651.0,12002.0,1049.0,698.0,0.0900351901124367,0.05815697383769372,3.943502824858757,3.6354166666666665,0.6780790960451977,0.03943502824858769,64,58,41,17,0.7068965517241379,0.90625,0.5798709910321587,65.0,66.79310344827586,69.0,0,0,811.4365,116.0,3874.0,3990.0,226.0,110.0,0.05833763551884357,0.02756892230576441,1.896551724137931,1.71875,0.6879310344827586,0.018965517241379293,65,57,38,19,0.6666666666666666,0.8769230769230769,0.5372251158005142,65.0,68.17543859649123,72.0,0,0,774.359,111.0,3886.0,3997.0,-86.0,-197.0,-0.02213072568193515,-0.04928696522391794,-3.456140350877193,-3.0307692307692307,0.7012280701754385,-0.034561403508771904,True,False,False,-2.5,-15.12999999999738
current,book_margin__long_minus_short_move_30_5m_le_100,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; long_minus_short_move_30_5m<=100,1,321,299,209,90,0.6989966555183946,0.9314641744548287,0.6447497092554008,64.0,66.40133779264214,68.0,0,0,788.876,590.0,19854.0,20444.0,1046.0,456.0,0.05268459756220409,0.022304832713754646,1.5250836120401339,1.4205607476635513,0.6837458193979933,0.015250836120401345,192,180,128,52,0.7111111111111111,0.9375,0.6410335213896696,64.0,65.48333333333333,67.25,0,0,786.9694999999999,357.0,11787.0,12144.0,1013.0,656.0,0.08594213964537202,0.05401844532279315,3.6444444444444444,3.4166666666666665,0.6746666666666666,0.0364444444444445,64,62,43,19,0.6935483870967742,0.96875,0.5703278379461328,65.0,67.58064516129032,69.75,0,0,810.8530000000001,122.0,4190.0,4312.0,110.0,-12.0,0.026252983293556086,-0.0027829313543599257,-0.1935483870967742,-0.1875,0.6954838709677421,-0.001935483870967869,65,57,38,19,0.6666666666666666,0.8769230769230769,0.5372251158005142,65.0,68.01754385964912,72.0,0,0,774.359,111.0,3877.0,3988.0,-77.0,-188.0,-0.019860717049264894,-0.04714142427281846,-3.2982456140350878,-2.8923076923076922,0.6996491228070176,-0.032982456140351,True,False,False,-2.5,-9.580000000001746
current,book_margin__long_minus_short_move_30_5m_le_150,choose=book_p_side; book_p_side>=0.6; fee_edge>=-100c; ask<=95; sec>=120; margin_rv15>=0; long_minus_short_move_30_5m<=150,1,321,309,218,91,0.7055016181229773,0.9626168224299065,0.6524053307069863,64.0,66.11003236245955,68.0,0,0,804.79,613.0,20428.0,21041.0,1372.0,759.0,0.06716271783826121,0.036072430017584714,2.4563106796116503,2.364485981308411,0.6809385113268608,0.024563106796116507,192,185,132,53,0.7135135135135136,0.9635416666666666,0.6445399696252664,64.0,65.4,68.0,0,0,801.34,367.0,12099.0,12466.0,1101.0,734.0,0.09099925613687082,0.05888015401893149,3.9675675675675675,3.8229166666666665,0.6738378378378378,0.03967567567567576,64,64,45,19,0.703125,1.0,0.5822979889645707,65.0,66.859375,69.0,0,0,811.4365,128.0,4279.0,4407.0,221.0,93.0,0.05164758121056322,0.02110279101429544,1.453125,1.453125,0.68859375,0.014531249999999996,65,60,41,19,0.6833333333333333,0.9230769230769231,0.5576623297382323,65.0,67.5,70.25,0,0,790.856,118.0,4050.0,4168.0,50.0,-68.0,0.012345679012345678,-0.016314779270633396,-1.1333333333333333,-1.0461538461538462,0.6946666666666667,-0.011333333333333306,True,False,False,-2.5,-6.919999999998254
current,book_margin_edge_m5,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0,0,321,319,226,93,0.7084639498432602,0.9937694704049844,0.6563469276735691,64.0,65.70532915360502,68.0,0,0,819.258,635.0,20960.0,21595.0,1640.0,1005.0,0.07824427480916031,0.046538550590414444,3.1504702194357366,3.130841121495327,0.6769592476489028,0.031504702194357415,192,190,135,55,0.7105263157894737,0.9895833333333334,0.6423741322457267,63.0,65.03684210526316,67.0,0,0,816.4894999999999,379.0,12357.0,12736.0,1143.0,764.0,0.09249817916970138,0.05998743718592965,4.021052631578947,3.9791666666666665,0.6703157894736841,0.040210526315789585,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,65,46,19,0.7076923076923077,1.0,0.588039627634997,65.0,66.84615384615384,69.0,0,0,826.274,128.0,4345.0,4473.0,255.0,127.0,0.05868814729574223,0.028392577688352336,1.9538461538461538,1.9538461538461538,0.6881538461538461,0.019538461538461616,True,True,True,-2.5,4.069999999992433
current,book_margin_edge_m5__signed_move_30m_le_75,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=75,1,321,282,195,87,0.6914893617021277,0.8785046728971962,0.635309798118637,64.0,66.63475177304964,69.0,0,0,776.3585,556.0,18791.0,19347.0,709.0,153.0,0.0377308285881539,0.007908202822142968,0.5425531914893617,0.4766355140186916,0.6860638297872341,0.005425531914893589,192,170,118,52,0.6941176470588235,0.8854166666666666,0.6211979601443385,64.0,66.13529411764706,68.0,0,0,772.691,335.0,11243.0,11578.0,557.0,222.0,0.049541937205372234,0.01917429607877008,1.3058823529411765,1.15625,0.6810588235294117,0.01305882352941179,64,58,41,17,0.7068965517241379,0.90625,0.5798709910321587,65.0,67.01724137931035,69.0,0,0,811.4365,115.0,3887.0,4002.0,213.0,98.0,0.05479804476459995,0.02448775612193903,1.6896551724137931,1.53125,0.6900000000000001,0.016896551724137843,65,54,36,18,0.6666666666666666,0.8307692307692308,0.5336096360112936,65.0,67.79629629629629,71.0,0,0,774.134,106.0,3661.0,3767.0,-61.0,-167.0,-0.01666211417645452,-0.044332359968144414,-3.0925925925925926,-2.5692307692307694,0.6975925925925927,-0.030925925925926023,True,False,False,-2.5,-25.584999999999127
current,book_margin_edge_m5__signed_move_30m_le_100,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=100,1,321,288,198,90,0.6875,0.897196261682243,0.6317962447469408,64.0,66.10763888888889,68.0,0,0,783.5215000000001,572.0,19039.0,19611.0,761.0,189.0,0.03997058669047744,0.009637448370812299,0.65625,0.5887850467289719,0.6809375000000001,0.006562499999999916,192,174,121,53,0.6954022988505747,0.90625,0.6234085012066445,64.0,65.43103448275862,68.0,0,0,779.792,347.0,11385.0,11732.0,715.0,368.0,0.06280193236714976,0.03136720081827481,2.1149425287356323,1.9166666666666667,0.6742528735632184,0.021149425287356305,64,59,41,18,0.6949152542372882,0.921875,0.5685367346805482,65.0,66.77966101694915,69.0,0,0,810.969,118.0,3940.0,4058.0,160.0,42.0,0.04060913705583756,0.010349926071956629,0.711864406779661,0.65625,0.6877966101694916,0.007118644067796609,65,55,36,19,0.6545454545454545,0.8461538461538461,0.522539035075616,65.0,67.52727272727273,69.5,0,0,774.359,107.0,3714.0,3821.0,-114.0,-221.0,-0.030694668820678513,-0.057838262235017014,-4.0181818181818185,-3.4,0.6947272727272729,-0.04018181818181832,True,False,False,-2.5,-17.064999999995052
current,book_margin_edge_m5__signed_move_30m_le_125,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=125,1,321,293,202,91,0.689419795221843,0.9127725856697819,0.6342716062257542,64.0,66.05119453924915,68.0,0,0,795.746,582.0,19353.0,19935.0,847.0,265.0,0.04376582441998657,0.013293202909455732,0.9044368600682594,0.8255451713395638,0.6803754266211604,0.009044368600682695,192,177,123,54,0.6949152542372882,0.921875,0.6235390833596625,64.0,65.4180790960452,68.0,0,0,795.746,352.0,11579.0,11931.0,721.0,369.0,0.062267898782278265,0.030927835051546393,2.0847457627118646,1.921875,0.6740677966101695,0.020847457627118704,64,60,42,18,0.7,0.9375,0.5749129205308552,65.0,66.68333333333334,69.0,0,0,810.8530000000001,120.0,4001.0,4121.0,199.0,79.0,0.04973756560859785,0.019170104343605922,1.3166666666666667,1.234375,0.6868333333333333,0.01316666666666666,65,56,37,19,0.6607142857142857,0.8615384615384616,0.5299945300706023,65.0,67.375,70.25,0,0,776.4165,110.0,3773.0,3883.0,-73.0,-183.0,-0.019347998939835676,-0.04712850888488282,-3.267857142857143,-2.8153846153846156,0.6933928571428571,-0.032678571428571446,True,False,False,-2.5,-11.029999999998836
current,book_margin_edge_m5__signed_move_30m_le_150,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=150,1,321,298,206,92,0.6912751677852349,0.9283489096573209,0.6366681763897313,64.0,65.99664429530202,68.0,0,0,796.3969999999999,592.0,19667.0,20259.0,933.0,341.0,0.04743987390044237,0.016832025272718296,1.1442953020134228,1.0623052959501558,0.6798322147651006,0.011442953020134317,192,179,125,54,0.6983240223463687,0.9322916666666666,0.6274981355696418,64.0,65.34078212290503,68.0,0,0,796.655,356.0,11696.0,12052.0,804.0,448.0,0.06874145006839945,0.03717225356787255,2.5027932960893855,2.3333333333333335,0.6732960893854749,0.025027932960893784,64,62,43,19,0.6935483870967742,0.96875,0.5703278379461328,64.0,66.48387096774194,69.0,0,0,810.8530000000001,124.0,4122.0,4246.0,178.0,54.0,0.043182920912178555,0.012717852096090438,0.8709677419354839,0.84375,0.6848387096774193,0.008709677419354911,65,57,38,19,0.6666666666666666,0.8769230769230769,0.5372251158005142,65.0,67.52631578947368,71.0,0,0,774.359,112.0,3849.0,3961.0,-49.0,-161.0,-0.012730579371265264,-0.04064630143903055,-2.824561403508772,-2.476923076923077,0.6949122807017544,-0.02824561403508774,True,False,False,-2.5,-9.505000000004657
current,book_margin_edge_m5__signed_move_30m_le_200,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=200,1,321,311,219,92,0.7041800643086816,0.9688473520249221,0.6512125361400598,64.0,66.0128617363344,68.0,0,0,801.34,618.0,20530.0,21148.0,1370.0,752.0,0.06673161227471992,0.03555891810100246,2.418006430868167,2.3426791277258565,0.68,0.02418006430868158,192,187,133,54,0.7112299465240641,0.9739583333333334,0.6425403437175327,64.0,65.36898395721926,68.0,0,0,800.029,372.0,12224.0,12596.0,1076.0,704.0,0.08802356020942409,0.055890758971101934,3.764705882352941,3.6666666666666665,0.6735828877005348,0.03764705882352937,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,60,41,19,0.6833333333333333,0.9230769230769231,0.5576623297382323,65.0,67.46666666666667,70.25,0,0,776.4165,118.0,4048.0,4166.0,52.0,-66.0,0.012845849802371542,-0.01584253480556889,-1.1,-1.0153846153846153,0.6943333333333334,-0.01100000000000001,True,False,False,-2.5,-5.830000000001746
current,book_margin_edge_m5__signed_move_30m_le_250,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_30m<=250,1,321,312,222,90,0.7115384615384616,0.9719626168224299,0.6589354609731725,64.0,65.73717948717949,68.0,0,0,809.88,621.0,20510.0,21131.0,1690.0,1069.0,0.08239882983910288,0.05058918177085798,3.426282051282051,3.3302180685358254,0.6772756410256411,0.03426282051282048,192,187,134,53,0.7165775401069518,0.9739583333333334,0.6481313812869184,63.0,65.05882352941177,67.0,0,0,807.781,373.0,12166.0,12539.0,1234.0,861.0,0.10143021535426598,0.0686657628200016,4.60427807486631,4.484375,0.6705347593582888,0.04604278074866308,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,61,43,18,0.7049180327868853,0.9384615384615385,0.5811059794277963,65.0,66.98360655737704,69.0,0,0,807.319,120.0,4086.0,4206.0,214.0,94.0,0.05237395986294665,0.02234902520209225,1.540983606557377,1.4461538461538461,0.6895081967213115,0.015409836065573779,True,True,True,-2.5,-2.3800000000046566
current,book_margin_edge_m5__signed_move_15m_le_75,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=75,1,321,298,205,93,0.6879194630872483,0.9283489096573209,0.6332021790035687,64.0,66.03355704697987,68.0,0,0,778.927,592.0,19678.0,20270.0,822.0,230.0,0.04177253785953857,0.011346817957572768,0.7718120805369127,0.7165109034267912,0.6802013422818791,0.007718120805369155,192,180,126,54,0.7,0.9375,0.6294468133268561,64.0,65.73333333333333,68.0,0,0,784.8834999999999,356.0,11832.0,12188.0,768.0,412.0,0.06490872210953347,0.03380374138496882,2.2888888888888888,2.1458333333333335,0.6771111111111112,0.022888888888888737,64,62,43,19,0.6935483870967742,0.96875,0.5703278379461328,64.5,66.58064516129032,69.0,0,0,810.8530000000001,124.0,4128.0,4252.0,172.0,48.0,0.041666666666666664,0.011288805268109126,0.7741935483870968,0.75,0.6858064516129033,0.007741935483870921,65,56,36,20,0.6428571428571429,0.8615384615384616,0.5119388780139952,65.0,66.39285714285714,69.0,0,0,772.2745,112.0,3718.0,3830.0,-118.0,-230.0,-0.03173749327595481,-0.06005221932114883,-4.107142857142857,-3.5384615384615383,0.6839285714285713,-0.041071428571428426,True,False,False,-2.5,-6.360000000000582
current,book_margin_edge_m5__signed_move_15m_le_100,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=100,1,321,303,207,96,0.6831683168316832,0.9439252336448598,0.6287688696339809,64.0,65.9009900990099,68.0,0,0,796.139,603.0,19968.0,20571.0,732.0,129.0,0.03665865384615385,0.006270963978416217,0.42574257425742573,0.40186915887850466,0.678910891089109,0.004257425742574261,192,184,128,56,0.6956521739130435,0.9583333333333334,0.6257282845925204,64.0,65.46739130434783,68.0,0,0,799.781,366.0,12046.0,12412.0,754.0,388.0,0.06259339199734351,0.031260070899129876,2.108695652173913,2.0208333333333335,0.6745652173913044,0.021086956521739086,64,62,43,19,0.6935483870967742,0.96875,0.5703278379461328,64.5,66.53225806451613,69.0,0,0,811.4365,124.0,4125.0,4249.0,175.0,51.0,0.04242424242424243,0.012002824193927984,0.8225806451612904,0.796875,0.6853225806451613,0.008225806451612971,65,57,36,21,0.631578947368421,0.8769230769230769,0.5017779822249521,65.0,66.6140350877193,69.0,0,0,773.036,113.0,3797.0,3910.0,-197.0,-310.0,-0.051883065578087965,-0.0792838874680307,-5.43859649122807,-4.769230769230769,0.6859649122807018,-0.05438596491228076,True,False,False,-2.5,-3.010000000009313
current,book_margin_edge_m5__signed_move_15m_le_125,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=125,1,321,308,214,94,0.6948051948051948,0.9595015576323987,0.6412396997270197,64.0,65.85714285714286,68.0,0,0,807.2225000000001,612.0,20284.0,20896.0,1116.0,504.0,0.055018733977519226,0.024119448698315466,1.6363636363636365,1.5700934579439252,0.6784415584415585,0.016363636363636247,192,185,131,54,0.7081081081081081,0.9635416666666666,0.6388941069418909,63.0,65.08648648648649,67.0,0,0,807.781,369.0,12041.0,12410.0,1059.0,690.0,0.08794950585499543,0.055600322320709106,3.72972972972973,3.59375,0.6708108108108107,0.03729729729729736,64,63,44,19,0.6984126984126984,0.984375,0.5763962768644041,64.0,66.88888888888889,69.0,0,0,810.969,125.0,4214.0,4339.0,186.0,61.0,0.04413858566682487,0.01405853883383268,0.9682539682539683,0.953125,0.6887301587301589,0.009682539682539515,65,60,39,21,0.65,0.9230769230769231,0.5236261884175487,65.0,67.15,69.0,0,0,776.4165,118.0,4029.0,4147.0,-129.0,-247.0,-0.03201787043931496,-0.05956112852664577,-4.116666666666666,-3.8,0.6911666666666666,-0.041166666666666574,True,False,False,-2.5,-0.9000000000014552
current,book_margin_edge_m5__signed_move_15m_le_150,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=150,1,321,313,218,95,0.6964856230031949,0.9750778816199377,0.6434214630322169,64.0,65.90415335463258,68.0,0,0,810.969,622.0,20628.0,21250.0,1172.0,550.0,0.05681597828194687,0.02588235294117647,1.7571884984025559,1.7133956386292835,0.6789137380191693,0.01757188498402562,192,189,134,55,0.708994708994709,0.984375,0.6405873132772524,64.0,65.23809523809524,68.0,0,0,811.213,376.0,12330.0,12706.0,1070.0,694.0,0.0867802108678021,0.054619864630883044,3.671957671957672,3.6145833333333335,0.6722751322751322,0.03671957671957671,64,63,44,19,0.6984126984126984,0.984375,0.5763962768644041,64.0,66.41269841269842,69.0,0,0,810.969,126.0,4184.0,4310.0,216.0,90.0,0.05162523900573614,0.02088167053364269,1.4285714285714286,1.40625,0.6841269841269841,0.014285714285714235,65,61,40,21,0.6557377049180327,0.9384615384615385,0.5304974914056818,65.0,67.44262295081967,69.0,0,0,807.319,120.0,4114.0,4234.0,-114.0,-234.0,-0.02771025765678172,-0.05526688710439301,-3.8360655737704916,-3.6,0.6940983606557376,-0.03836065573770486,True,False,False,-2.5,1.3699999999953434
current,book_margin_edge_m5__signed_move_15m_le_200,choose=book_p_side; book_p_side>=0.6; fee_edge>=-5c; ask<=95; sec>=120; margin_rv15>=0; signed_move_15m<=200,1,321,317,224,93,0.7066246056782335,0.9875389408099688,0.6542686743689814,64.0,65.86435331230284,68.0,0,0,811.856,630.0,20879.0,21509.0,1521.0,891.0,0.07284831649025336,0.04142451996838533,2.810725552050473,2.7757009345794392,0.6785173501577287,0.028107255520504748,192,189,135,54,0.7142857142857143,0.984375,0.6461141246543445,63.0,65.11640211640211,68.0,0,0,811.385,377.0,12307.0,12684.0,1193.0,816.0,0.09693670268952628,0.06433301797540208,4.317460317460317,4.25,0.6711111111111111,0.0431746031746032,64,64,45,19,0.703125,1.0,0.5822979889645707,64.5,66.53125,69.0,0,0,812.8975,128.0,4258.0,4386.0,242.0,114.0,0.05683419445749178,0.025991792065663474,1.78125,1.78125,0.6853125,0.01781250000000001,65,64,44,20,0.6875,0.9846153846153847,0.5660766429725185,65.0,67.40625,69.0,0,0,811.9994999999999,125.0,4314.0,4439.0,86.0,-39.0,0.019935095039406582,-0.00878576255913494,-0.609375,-0.6,0.69359375,-0.006093750000000009,True,False,False,-2.5,2.610000000000582
